#1				
double Inf_Snd(1346,5)  # t	steady	dry	rain	strm
1.6979166667	6.95	6.56	6.56	6.56
1.7083333333	6.95	6.4	6.4	6.4
1.7187500000	6.95	5.95	5.95	5.95
1.7291666667	6.95	5.83	5.83	5.83
1.7395833333	6.95	5.73	5.73	5.73
1.7500000000	6.95	5.87	5.87	5.87
1.7604166667	6.95	6.05	6.05	6.05
1.7708333333	6.95	6.33	6.33	6.33
1.7812500000	6.95	6.24	6.24	6.24
1.7916666667	6.95	6.22	6.22	6.22
1.8020833333	6.95	6.2	6.2	6.2
1.8125000000	6.95	6.64	6.64	6.64
1.8229166667	6.95	6.72	6.72	6.72
1.8333333333	6.95	6.85	6.85	6.85
1.8437500000	6.95	7.19	7.19	7.19
1.8541666667	6.95	7.56	7.56	7.56
1.8645833333	6.95	7.74	7.74	7.74
1.8750000000	6.95	8.01	8.01	8.01
1.8854166667	6.95	8.26	8.26	8.26
1.8958333333	6.95	8.38	8.38	8.38
1.9062500000	6.95	8.42	8.42	8.42
1.9166666667	6.95	8.34	8.34	8.34
1.9270833333	6.95	8.2	8.2	8.2
1.9375000000	6.95	8.01	8.01	8.01
1.9479166667	6.95	7.78	7.78	7.78
1.9583333333	6.95	7.56	7.56	7.56
1.9687500000	6.95	7.19	7.19	7.19
1.9791666667	6.95	6.95	6.95	6.95
1.9895833333	6.95	6.75	6.75	6.75
2.0000000000	6.95	6.36	6.36	6.36
2.0104166667	6.95	6.17	6.17	6.17
2.0208333333	6.95	6.17	6.17	6.17
2.0312500000	6.95	6.22	6.22	6.22
2.0416666667	6.95	6.46	6.46	6.46
2.0520833333	6.95	6.78	6.78	6.78
2.0625000000	6.95	7.21	7.21	7.21
2.0729166667	6.95	7.25	7.25	7.25
2.0833333333	6.95	6.98	6.98	6.98
2.0937500000	6.95	6.75	6.75	6.75
2.1041666667	6.95	6.28	6.28	6.28
2.1145833333	6.95	6.22	6.22	6.22
2.1250000000	6.95	5.37	5.37	5.37
2.1354166667	6.95	5.44	5.44	5.44
2.1458333333	6.95	5.01	5.01	5.01
2.1562500000	6.95	4.64	4.64	4.64
2.1666666667	6.95	4.44	4.44	4.44
2.1770833333	6.95	4.26	4.26	4.26
2.1875000000	6.95	4	4	4
2.1979166667	6.95	4.04	4.04	4.04
2.2083333333	6.95	4.08	4.08	4.08
2.2187500000	6.95	4.05	4.05	4.05
2.2291666667	6.95	4.08	4.08	4.08
2.2395833333	6.95	4.05	4.05	4.05
2.2500000000	6.95	4.05	4.05	4.05
2.2604166667	6.95	4.05	4.05	4.05
2.2708333333	6.95	4.03	4.03	4.03
2.2812500000	6.95	4.01	4.01	4.01
2.2916666667	6.95	4	4	4
2.3020833333	6.95	4.03	4.03	4.03
2.3125000000	6.95	4.06	4.06	4.06
2.3229166667	6.95	4.09	4.09	4.09
2.3333333333	6.95	4.12	4.12	4.12
2.3437500000	6.95	4.19	4.19	4.19
2.3541666667	6.95	4.24	4.24	4.24
2.3645833333	6.95	4.39	4.39	4.39
2.3750000000	6.95	4.88	4.88	4.88
2.3854166667	6.95	5.99	5.99	5.99
2.3958333333	6.95	7.15	7.15	7.15
2.4062500000	6.95	8	8	8
2.4166666667	6.95	9.49	9.49	9.49
2.4270833333	6.95	10.58	10.58	10.58
2.4375000000	6.95	11.52	11.52	11.52
2.4479166667	6.95	12	12	12
2.4583333333	6.95	11.9	11.9	11.9
2.4687500000	6.95	11.21	11.21	11.21
2.4791666667	6.95	10.25	10.25	10.25
2.4895833333	6.95	9.48	9.48	9.48
2.5000000000	6.95	8.84	8.84	8.84
2.5104166667	6.95	8.13	8.13	8.13
2.5208333333	6.95	7.58	7.58	7.58
2.5312500000	6.95	7.04	7.04	7.04
2.5416666667	6.95	6.83	6.83	6.83
2.5520833333	6.95	6.7	6.7	6.7
2.5625000000	6.95	6.68	6.68	6.68
2.5729166667	6.95	6.71	6.71	6.71
2.5833333333	6.95	6.81	6.81	6.81
2.5937500000	6.95	6.87	6.87	6.87
2.6041666667	6.95	6.83	6.83	6.83
2.6145833333	6.95	6.52	6.52	6.52
2.6250000000	6.95	6.16	6.16	6.16
2.6354166667	6.95	5.98	5.98	5.98
2.6458333333	6.95	5.89	5.89	5.89
2.6562500000	6.95	5.94	5.94	5.94
2.6666666667	6.95	6.02	6.02	6.02
2.6770833333	6.95	6.24	6.24	6.24
2.6875000000	6.95	6.59	6.59	6.59
2.6979166667	6.95	6.56	6.56	6.56
2.7083333333	6.95	6.4	6.4	6.4
2.7187500000	6.95	5.95	5.95	5.95
2.7291666667	6.95	5.83	5.83	5.83
2.7395833333	6.95	5.73	5.73	5.73
2.7500000000	6.95	5.87	5.87	5.87
2.7604166667	6.95	6.05	6.05	6.05
2.7708333333	6.95	6.33	6.33	6.33
2.7812500000	6.95	6.24	6.24	6.24
2.7916666667	6.95	6.22	6.22	6.22
2.8020833333	6.95	6.2	6.2	6.2
2.8125000000	6.95	6.64	6.64	6.64
2.8229166667	6.95	6.72	6.72	6.72
2.8333333333	6.95	6.85	6.85	6.85
2.8437500000	6.95	7.19	7.19	7.19
2.8541666667	6.95	7.56	7.56	7.56
2.8645833333	6.95	7.74	7.74	7.74
2.8750000000	6.95	8.01	8.01	8.01
2.8854166667	6.95	8.26	8.26	8.26
2.8958333333	6.95	8.38	8.38	8.38
2.9062500000	6.95	8.42	8.42	8.42
2.9166666667	6.95	8.34	8.34	8.34
2.9270833333	6.95	8.2	8.2	8.2
2.9375000000	6.95	8.01	8.01	8.01
2.9479166667	6.95	7.78	7.78	7.78
2.9583333333	6.95	7.56	7.56	7.56
2.9687500000	6.95	7.19	7.19	7.19
2.9791666667	6.95	6.95	6.95	6.95
2.9895833333	6.95	6.75	6.75	6.75
3.0000000000	6.95	6.36	6.36	6.36
3.0104166667	6.95	6.17	6.17	6.17
3.0208333333	6.95	6.17	6.17	6.17
3.0312500000	6.95	6.22	6.22	6.22
3.0416666667	6.95	6.46	6.46	6.46
3.0520833333	6.95	6.78	6.78	6.78
3.0625000000	6.95	7.21	7.21	7.21
3.0729166667	6.95	7.25	7.25	7.25
3.0833333333	6.95	6.98	6.98	6.98
3.0937500000	6.95	6.75	6.75	6.75
3.1041666667	6.95	6.28	6.28	6.28
3.1145833333	6.95	6.22	6.22	6.22
3.1250000000	6.95	5.37	5.37	5.37
3.1354166667	6.95	5.44	5.44	5.44
3.1458333333	6.95	5.01	5.01	5.01
3.1562500000	6.95	4.64	4.64	4.64
3.1666666667	6.95	4.44	4.44	4.44
3.1770833333	6.95	4.26	4.26	4.26
3.1875000000	6.95	4	4	4
3.1979166667	6.95	4.04	4.04	4.04
3.2083333333	6.95	4.08	4.08	4.08
3.2187500000	6.95	4.05	4.05	4.05
3.2291666667	6.95	4.08	4.08	4.08
3.2395833333	6.95	4.05	4.05	4.05
3.2500000000	6.95	4.05	4.05	4.05
3.2604166667	6.95	4.05	4.05	4.05
3.2708333333	6.95	4.03	4.03	4.03
3.2812500000	6.95	4.01	4.01	4.01
3.2916666667	6.95	4	4	4
3.3020833333	6.95	4.03	4.03	4.03
3.3125000000	6.95	4.06	4.06	4.06
3.3229166667	6.95	4.09	4.09	4.09
3.3333333333	6.95	4.12	4.12	4.12
3.3437500000	6.95	4.19	4.19	4.19
3.3541666667	6.95	4.24	4.24	4.24
3.3645833333	6.95	4.39	4.39	4.39
3.3750000000	6.95	4.88	4.88	4.88
3.3854166667	6.95	5.99	5.99	5.99
3.3958333333	6.95	7.15	7.15	7.15
3.4062500000	6.95	8	8	8
3.4166666667	6.95	9.49	9.49	9.49
3.4270833333	6.95	10.58	10.58	10.58
3.4375000000	6.95	11.52	11.52	11.52
3.4479166667	6.95	12	12	12
3.4583333333	6.95	11.9	11.9	11.9
3.4687500000	6.95	11.21	11.21	11.21
3.4791666667	6.95	10.25	10.25	10.25
3.4895833333	6.95	9.48	9.48	9.48
3.5000000000	6.95	8.84	8.84	8.84
3.5104166667	6.95	8.13	8.13	8.13
3.5208333333	6.95	7.58	7.58	7.58
3.5312500000	6.95	7.04	7.04	7.04
3.5416666667	6.95	6.83	6.83	6.83
3.5520833333	6.95	6.7	6.7	6.7
3.5625000000	6.95	6.68	6.68	6.68
3.5729166667	6.95	6.71	6.71	6.71
3.5833333333	6.95	6.81	6.81	6.81
3.5937500000	6.95	6.87	6.87	6.87
3.6041666667	6.95	6.83	6.83	6.83
3.6145833333	6.95	6.52	6.52	6.52
3.6250000000	6.95	6.16	6.16	6.16
3.6354166667	6.95	5.98	5.98	5.98
3.6458333333	6.95	5.89	5.89	5.89
3.6562500000	6.95	5.94	5.94	5.94
3.6666666667	6.95	6.02	6.02	6.02
3.6770833333	6.95	6.24	6.24	6.24
3.6875000000	6.95	6.59	6.59	6.59
3.6979166667	6.95	6.56	6.56	6.56
3.7083333333	6.95	6.4	6.4	6.4
3.7187500000	6.95	5.95	5.95	5.95
3.7291666667	6.95	5.83	5.83	5.83
3.7395833333	6.95	5.73	5.73	5.73
3.7500000000	6.95	5.87	5.87	5.87
3.7604166667	6.95	6.05	6.05	6.05
3.7708333333	6.95	6.33	6.33	6.33
3.7812500000	6.95	6.24	6.24	6.24
3.7916666667	6.95	6.22	6.22	6.22
3.8020833333	6.95	6.2	6.2	6.2
3.8125000000	6.95	6.64	6.64	6.64
3.8229166667	6.95	6.72	6.72	6.72
3.8333333333	6.95	6.85	6.85	6.85
3.8437500000	6.95	7.19	7.19	7.19
3.8541666667	6.95	7.56	7.56	7.56
3.8645833333	6.95	7.74	7.74	7.74
3.8750000000	6.95	8.01	8.01	8.01
3.8854166667	6.95	8.26	8.26	8.26
3.8958333333	6.95	8.38	8.38	8.38
3.9062500000	6.95	8.42	8.42	8.42
3.9166666667	6.95	8.34	8.34	8.34
3.9270833333	6.95	8.2	8.2	8.2
3.9375000000	6.95	8.01	8.01	8.01
3.9479166667	6.95	7.78	7.78	7.78
3.9583333333	6.95	7.56	7.56	7.56
3.9687500000	6.95	7.19	7.19	7.19
3.9791666667	6.95	6.95	6.95	6.95
3.9895833333	6.95	6.75	6.75	6.75
4.0000000000	6.95	6.36	6.36	6.36
4.0104166667	6.95	6.17	6.17	6.17
4.0208333333	6.95	6.17	6.17	6.17
4.0312500000	6.95	6.22	6.22	6.22
4.0416666667	6.95	6.46	6.46	6.46
4.0520833333	6.95	6.78	6.78	6.78
4.0625000000	6.95	7.21	7.21	7.21
4.0729166667	6.95	7.25	7.25	7.25
4.0833333333	6.95	6.98	6.98	6.98
4.0937500000	6.95	6.75	6.75	6.75
4.1041666667	6.95	6.28	6.28	6.28
4.1145833333	6.95	6.22	6.22	6.22
4.1250000000	6.95	5.37	5.37	5.37
4.1354166667	6.95	5.44	5.44	5.44
4.1458333333	6.95	5.01	5.01	5.01
4.1562500000	6.95	4.64	4.64	4.64
4.1666666667	6.95	4.44	4.44	4.44
4.1770833333	6.95	4.26	4.26	4.26
4.1875000000	6.95	4	4	4
4.1979166667	6.95	4.04	4.04	4.04
4.2083333333	6.95	4.08	4.08	4.08
4.2187500000	6.95	4.05	4.05	4.05
4.2291666667	6.95	4.08	4.08	4.08
4.2395833333	6.95	4.05	4.05	4.05
4.2500000000	6.95	4.05	4.05	4.05
4.2604166667	6.95	4.05	4.05	4.05
4.2708333333	6.95	4.03	4.03	4.03
4.2812500000	6.95	4.01	4.01	4.01
4.2916666667	6.95	4	4	4
4.3020833333	6.95	4.03	4.03	4.03
4.3125000000	6.95	4.06	4.06	4.06
4.3229166667	6.95	4.09	4.09	4.09
4.3333333333	6.95	4.12	4.12	4.12
4.3437500000	6.95	4.19	4.19	4.19
4.3541666667	6.95	4.24	4.24	4.24
4.3645833333	6.95	4.39	4.39	4.39
4.3750000000	6.95	4.88	4.88	4.88
4.3854166667	6.95	5.99	5.99	5.99
4.3958333333	6.95	7.15	7.15	7.15
4.4062500000	6.95	8	8	8
4.4166666667	6.95	9.49	9.49	9.49
4.4270833333	6.95	10.58	10.58	10.58
4.4375000000	6.95	11.52	11.52	11.52
4.4479166667	6.95	12	12	12
4.4583333333	6.95	11.9	11.9	11.9
4.4687500000	6.95	11.21	11.21	11.21
4.4791666667	6.95	10.25	10.25	10.25
4.4895833333	6.95	9.48	9.48	9.48
4.5000000000	6.95	8.84	8.84	8.84
4.5104166667	6.95	8.13	8.13	8.13
4.5208333333	6.95	7.58	7.58	7.58
4.5312500000	6.95	7.04	7.04	7.04
4.5416666667	6.95	6.83	6.83	6.83
4.5520833333	6.95	6.7	6.7	6.7
4.5625000000	6.95	6.68	6.68	6.68
4.5729166667	6.95	6.71	6.71	6.71
4.5833333333	6.95	6.81	6.81	6.81
4.5937500000	6.95	6.87	6.87	6.87
4.6041666667	6.95	6.83	6.83	6.83
4.6145833333	6.95	6.52	6.52	6.52
4.6250000000	6.95	6.16	6.16	6.16
4.6354166667	6.95	5.98	5.98	5.98
4.6458333333	6.95	5.89	5.89	5.89
4.6562500000	6.95	5.94	5.94	5.94
4.6666666667	6.95	6.02	6.02	6.02
4.6770833333	6.95	6.24	6.24	6.24
4.6875000000	6.95	6.59	6.59	6.59
4.6979166667	6.95	6.56	6.56	6.56
4.7083333333	6.95	6.4	6.4	6.4
4.7187500000	6.95	5.95	5.95	5.95
4.7291666667	6.95	5.83	5.83	5.83
4.7395833333	6.95	5.73	5.73	5.73
4.7500000000	6.95	5.87	5.87	5.87
4.7604166667	6.95	6.05	6.05	6.05
4.7708333333	6.95	6.33	6.33	6.33
4.7812500000	6.95	6.24	6.24	6.24
4.7916666667	6.95	6.22	6.22	6.22
4.8020833333	6.95	6.2	6.2	6.2
4.8125000000	6.95	6.64	6.64	6.64
4.8229166667	6.95	6.72	6.72	6.72
4.8333333333	6.95	6.85	6.85	6.85
4.8437500000	6.95	7.19	7.19	7.19
4.8541666667	6.95	7.56	7.56	7.56
4.8645833333	6.95	7.74	7.74	7.74
4.8750000000	6.95	8.01	8.01	8.01
4.8854166667	6.95	8.26	8.26	8.26
4.8958333333	6.95	8.38	8.38	8.38
4.9062500000	6.95	8.42	8.42	8.42
4.9166666667	6.95	8.34	8.34	8.34
4.9270833333	6.95	8.2	8.2	8.2
4.9375000000	6.95	8.01	8.01	8.01
4.9479166667	6.95	7.78	7.78	7.78
4.9583333333	6.95	7.56	7.56	7.56
4.9687500000	6.95	7.19	7.19	7.19
4.9791666667	6.95	6.95	6.95	6.95
4.9895833333	6.95	6.75	6.75	6.75
5.0000000000	6.95	6.36	6.36	6.36
5.0104166667	6.95	6.17	6.17	6.17
5.0208333333	6.95	6.17	6.17	6.17
5.0312500000	6.95	6.22	6.22	6.22
5.0416666667	6.95	6.46	6.46	6.46
5.0520833333	6.95	6.78	6.78	6.78
5.0625000000	6.95	7.21	7.21	7.21
5.0729166667	6.95	7.25	7.25	7.25
5.0833333333	6.95	6.98	6.98	6.98
5.0937500000	6.95	6.75	6.75	6.75
5.1041666667	6.95	6.28	6.28	6.28
5.1145833333	6.95	6.22	6.22	6.22
5.1250000000	6.95	5.37	5.37	5.37
5.1354166667	6.95	5.44	5.44	5.44
5.1458333333	6.95	5.01	5.01	5.01
5.1562500000	6.95	4.64	4.64	4.64
5.1666666667	6.95	4.44	4.44	4.44
5.1770833333	6.95	4.26	4.26	4.26
5.1875000000	6.95	4	4	4
5.1979166667	6.95	4.04	4.04	4.04
5.2083333333	6.95	4.08	4.08	4.08
5.2187500000	6.95	4.05	4.05	4.05
5.2291666667	6.95	4.08	4.08	4.08
5.2395833333	6.95	4.05	4.05	4.05
5.2500000000	6.95	4.05	4.05	4.05
5.2604166667	6.95	4.05	4.05	4.05
5.2708333333	6.95	4.03	4.03	4.03
5.2812500000	6.95	4.01	4.01	4.01
5.2916666667	6.95	4	4	4
5.3020833333	6.95	4.03	4.03	4.03
5.3125000000	6.95	4.06	4.06	4.06
5.3229166667	6.95	4.09	4.09	4.09
5.3333333333	6.95	4.12	4.12	4.12
5.3437500000	6.95	4.19	4.19	4.19
5.3541666667	6.95	4.24	4.24	4.24
5.3645833333	6.95	4.39	4.39	4.39
5.3750000000	6.95	4.88	4.88	4.88
5.3854166667	6.95	5.99	5.99	5.99
5.3958333333	6.95	7.15	7.15	7.15
5.4062500000	6.95	8	8	8
5.4166666667	6.95	9.49	9.49	9.49
5.4270833333	6.95	10.58	10.58	10.58
5.4375000000	6.95	11.52	11.52	11.52
5.4479166667	6.95	12	12	12
5.4583333333	6.95	11.9	11.9	11.9
5.4687500000	6.95	11.21	11.21	11.21
5.4791666667	6.95	10.25	10.25	10.25
5.4895833333	6.95	9.48	9.48	9.48
5.5000000000	6.95	8.84	8.84	8.84
5.5104166667	6.95	8.13	8.13	8.13
5.5208333333	6.95	7.58	7.58	7.58
5.5312500000	6.95	7.04	7.04	7.04
5.5416666667	6.95	6.83	6.83	6.83
5.5520833333	6.95	6.7	6.7	6.7
5.5625000000	6.95	6.68	6.68	6.68
5.5729166667	6.95	6.71	6.71	6.71
5.5833333333	6.95	6.81	6.81	6.81
5.5937500000	6.95	6.87	6.87	6.87
5.6041666667	6.95	6.83	6.83	6.83
5.6145833333	6.95	6.52	6.52	6.52
5.6250000000	6.95	6.16	6.16	6.16
5.6354166667	6.95	5.98	5.98	5.98
5.6458333333	6.95	5.89	5.89	5.89
5.6562500000	6.95	5.94	5.94	5.94
5.6666666667	6.95	6.02	6.02	6.02
5.6770833333	6.95	6.24	6.24	6.24
5.6875000000	6.95	6.59	6.59	6.59
5.6979166667	6.95	6.56	6.56	6.56
5.7083333333	6.95	6.4	6.4	6.4
5.7187500000	6.95	5.95	5.95	5.95
5.7291666667	6.95	5.83	5.83	5.83
5.7395833333	6.95	5.73	5.73	5.73
5.7500000000	6.95	5.87	5.87	5.87
5.7604166667	6.95	6.05	6.05	6.05
5.7708333333	6.95	6.33	6.33	6.33
5.7812500000	6.95	6.24	6.24	6.24
5.7916666667	6.95	6.22	6.22	6.22
5.8020833333	6.95	6.2	6.2	6.2
5.8125000000	6.95	6.64	6.64	6.64
5.8229166667	6.95	6.72	6.72	6.72
5.8333333333	6.95	6.85	6.85	6.85
5.8437500000	6.95	7.19	7.19	7.19
5.8541666667	6.95	7.56	7.56	7.56
5.8645833333	6.95	7.74	7.74	7.74
5.8750000000	6.95	8.01	8.01	8.01
5.8854166667	6.95	8.26	8.26	8.26
5.8958333333	6.95	8.38	8.38	8.38
5.9062500000	6.95	8.42	8.42	8.42
5.9166666667	6.95	8.34	8.34	8.34
5.9270833333	6.95	8.2	8.2	8.2
5.9375000000	6.95	8.01	8.01	8.01
5.9479166667	6.95	7.78	7.78	7.78
5.9583333333	6.95	7.56	7.56	7.56
5.9687500000	6.95	7.19	7.19	7.19
5.9791666667	6.95	6.95	6.95	6.95
5.9895833333	6.95	6.75	6.75	6.75
6.0000000000	6.95	6.36	6.36	6.36
6.0104166667	6.95	6.17	6.17	6.17
6.0208333333	6.95	6.17	6.17	6.17
6.0312500000	6.95	6.22	6.22	6.22
6.0416666667	6.95	6.46	6.46	6.46
6.0520833333	6.95	6.78	6.78	6.78
6.0625000000	6.95	7.21	7.21	7.21
6.0729166667	6.95	7.25	7.25	7.25
6.0833333333	6.95	6.98	6.98	6.98
6.0937500000	6.95	6.75	6.75	6.75
6.1041666667	6.95	6.28	6.28	6.28
6.1145833333	6.95	6.22	6.22	6.22
6.1250000000	6.95	5.37	5.37	5.37
6.1354166667	6.95	5.44	5.44	5.44
6.1458333333	6.95	5.01	5.01	5.01
6.1562500000	6.95	4.64	4.64	4.64
6.1666666667	6.95	4.44	4.44	4.44
6.1770833333	6.95	4.26	4.26	4.26
6.1875000000	6.95	4	4	4
6.1979166667	6.95	4.04	4.04	4.04
6.2083333333	6.95	4.08	4.08	4.08
6.2187500000	6.95	4.05	4.05	4.05
6.2291666667	6.95	4.08	4.08	4.08
6.2395833333	6.95	4.05	4.05	4.05
6.2500000000	6.95	4.05	4.05	4.05
6.2604166667	6.95	4.05	4.05	4.05
6.2708333333	6.95	4.03	4.03	4.03
6.2812500000	6.95	4.01	4.01	4.01
6.2916666667	6.95	4	4	4
6.3020833333	6.95	4.03	4.03	4.03
6.3125000000	6.95	4.06	4.06	4.06
6.3229166667	6.95	4.09	4.09	4.09
6.3333333333	6.95	4.12	4.12	4.12
6.3437500000	6.95	4.19	4.19	4.19
6.3541666667	6.95	4.24	4.24	4.24
