#1				
double Inf_Si(1346,5)  # t	steady	dry	rain	strm
1.8541666667	30	30	30	30
1.8645833333	30	30	30	30
1.8750000000	30	30	30	30
1.8854166667	30	30	30	30
1.8958333333	30	30	30	30
1.9062500000	30	30	30	30
1.9166666667	30	30	30	30
1.9270833333	30	30	30	30
1.9375000000	30	30	30	30
1.9479166667	30	30	30	30
1.9583333333	30	30	30	30
1.9687500000	30	30	30	30
1.9791666667	30	30	30	30
1.9895833333	30	30	30	30
2.0000000000	30	30	30	30
2.0104166667	30	30	30	30
2.0208333333	30	30	30	30
2.0312500000	30	30	30	30
2.0416666667	30	30	30	30
2.0520833333	30	30	30	30
2.0625000000	30	30	30	30
2.0729166667	30	30	30	30
2.0833333333	30	30	30	30
2.0937500000	30	30	30	30
2.1041666667	30	30	30	30
2.1145833333	30	30	30	30
2.1250000000	30	30	30	30
2.1354166667	30	30	30	30
2.1458333333	30	30	30	30
2.1562500000	30	30	30	30
2.1666666667	30	30	30	30
2.1770833333	30	30	30	30
2.1875000000	30	30	30	30
2.1979166667	30	30	30	30
2.2083333333	30	30	30	30
2.2187500000	30	30	30	30
2.2291666667	30	30	30	30
2.2395833333	30	30	30	30
2.2500000000	30	30	30	30
2.2604166667	30	30	30	30
2.2708333333	30	30	30	30
2.2812500000	30	30	30	30
2.2916666667	30	30	30	30
2.3020833333	30	30	30	30
2.3125000000	30	30	30	30
2.3229166667	30	30	30	30
2.3333333333	30	30	30	30
2.3437500000	30	30	30	30
2.3541666667	30	30	30	30
2.3645833333	30	30	30	30
2.3750000000	30	30	30	30
2.3854166667	30	30	30	30
2.3958333333	30	30	30	30
2.4062500000	30	30	30	30
2.4166666667	30	30	30	30
2.4270833333	30	30	30	30
2.4375000000	30	30	30	30
2.4479166667	30	30	30	30
2.4583333333	30	30	30	30
2.4687500000	30	30	30	30
2.4791666667	30	30	30	30
2.4895833333	30	30	30	30
2.5000000000	30	30	30	30
2.5104166667	30	30	30	30
2.5208333333	30	30	30	30
2.5312500000	30	30	30	30
2.5416666667	30	30	30	30
2.5520833333	30	30	30	30
2.5625000000	30	30	30	30
2.5729166667	30	30	30	30
2.5833333333	30	30	30	30
2.5937500000	30	30	30	30
2.6041666667	30	30	30	30
2.6145833333	30	30	30	30
2.6250000000	30	30	30	30
2.6354166667	30	30	30	30
2.6458333333	30	30	30	30
2.6562500000	30	30	30	30
2.6666666667	30	30	30	30
2.6770833333	30	30	30	30
2.6875000000	30	30	30	30
2.6979166667	30	30	30	30
2.7083333333	30	30	30	30
2.7187500000	30	30	30	30
2.7291666667	30	30	30	30
2.7395833333	30	30	30	30
2.7500000000	30	30	30	30
2.7604166667	30	30	30	30
2.7708333333	30	30	30	30
2.7812500000	30	30	30	30
2.7916666667	30	30	30	30
2.8020833333	30	30	30	30
2.8125000000	30	30	30	30
2.8229166667	30	30	30	30
2.8333333333	30	30	30	30
2.8437500000	30	30	30	30
2.8541666667	30	30	30	30
2.8645833333	30	30	30	30
2.8750000000	30	30	30	30
2.8854166667	30	30	30	30
2.8958333333	30	30	30	30
2.9062500000	30	30	30	30
2.9166666667	30	30	30	30
2.9270833333	30	30	30	30
2.9375000000	30	30	30	30
2.9479166667	30	30	30	30
2.9583333333	30	30	30	30
2.9687500000	30	30	30	30
2.9791666667	30	30	30	30
2.9895833333	30	30	30	30
3.0000000000	30	30	30	30
3.0104166667	30	30	30	30
3.0208333333	30	30	30	30
3.0312500000	30	30	30	30
3.0416666667	30	30	30	30
3.0520833333	30	30	30	30
3.0625000000	30	30	30	30
3.0729166667	30	30	30	30
3.0833333333	30	30	30	30
3.0937500000	30	30	30	30
3.1041666667	30	30	30	30
3.1145833333	30	30	30	30
3.1250000000	30	30	30	30
3.1354166667	30	30	30	30
3.1458333333	30	30	30	30
3.1562500000	30	30	30	30
3.1666666667	30	30	30	30
3.1770833333	30	30	30	30
3.1875000000	30	30	30	30
3.1979166667	30	30	30	30
3.2083333333	30	30	30	30
3.2187500000	30	30	30	30
3.2291666667	30	30	30	30
3.2395833333	30	30	30	30
3.2500000000	30	30	30	30
3.2604166667	30	30	30	30
3.2708333333	30	30	30	30
3.2812500000	30	30	30	30
3.2916666667	30	30	30	30
3.3020833333	30	30	30	30
3.3125000000	30	30	30	30
3.3229166667	30	30	30	30
3.3333333333	30	30	30	30
3.3437500000	30	30	30	30
3.3541666667	30	30	30	30
3.3645833333	30	30	30	30
3.3750000000	30	30	30	30
3.3854166667	30	30	30	30
3.3958333333	30	30	30	30
3.4062500000	30	30	30	30
3.4166666667	30	30	30	30
3.4270833333	30	30	30	30
3.4375000000	30	30	30	30
3.4479166667	30	30	30	30
3.4583333333	30	30	30	30
3.4687500000	30	30	30	30
3.4791666667	30	30	30	30
3.4895833333	30	30	30	30
3.5000000000	30	30	30	30
3.5104166667	30	30	30	30
3.5208333333	30	30	30	30
3.5312500000	30	30	30	30
3.5416666667	30	30	30	30
3.5520833333	30	30	30	30
3.5625000000	30	30	30	30
3.5729166667	30	30	30	30
3.5833333333	30	30	30	30
3.5937500000	30	30	30	30
3.6041666667	30	30	30	30
3.6145833333	30	30	30	30
3.6250000000	30	30	30	30
3.6354166667	30	30	30	30
3.6458333333	30	30	30	30
3.6562500000	30	30	30	30
3.6666666667	30	30	30	30
3.6770833333	30	30	30	30
3.6875000000	30	30	30	30
3.6979166667	30	30	30	30
3.7083333333	30	30	30	30
3.7187500000	30	30	30	30
3.7291666667	30	30	30	30
3.7395833333	30	30	30	30
3.7500000000	30	30	30	30
3.7604166667	30	30	30	30
3.7708333333	30	30	30	30
3.7812500000	30	30	30	30
3.7916666667	30	30	30	30
3.8020833333	30	30	30	30
3.8125000000	30	30	30	30
3.8229166667	30	30	30	30
3.8333333333	30	30	30	30
3.8437500000	30	30	30	30
3.8541666667	30	30	30	30
3.8645833333	30	30	30	30
3.8750000000	30	30	30	30
3.8854166667	30	30	30	30
3.8958333333	30	30	30	30
3.9062500000	30	30	30	30
3.9166666667	30	30	30	30
3.9270833333	30	30	30	30
3.9375000000	30	30	30	30
3.9479166667	30	30	30	30
3.9583333333	30	30	30	30
3.9687500000	30	30	30	30
3.9791666667	30	30	30	30
3.9895833333	30	30	30	30
4.0000000000	30	30	30	30
4.0104166667	30	30	30	30
4.0208333333	30	30	30	30
4.0312500000	30	30	30	30
4.0416666667	30	30	30	30
4.0520833333	30	30	30	30
4.0625000000	30	30	30	30
4.0729166667	30	30	30	30
4.0833333333	30	30	30	30
4.0937500000	30	30	30	30
4.1041666667	30	30	30	30
4.1145833333	30	30	30	30
4.1250000000	30	30	30	30
4.1354166667	30	30	30	30
4.1458333333	30	30	30	30
4.1562500000	30	30	30	30
4.1666666667	30	30	30	30
4.1770833333	30	30	30	30
4.1875000000	30	30	30	30
4.1979166667	30	30	30	30
4.2083333333	30	30	30	30
4.2187500000	30	30	30	30
4.2291666667	30	30	30	30
4.2395833333	30	30	30	30
4.2500000000	30	30	30	30
4.2604166667	30	30	30	30
4.2708333333	30	30	30	30
4.2812500000	30	30	30	30
4.2916666667	30	30	30	30
4.3020833333	30	30	30	30
4.3125000000	30	30	30	30
4.3229166667	30	30	30	30
4.3333333333	30	30	30	30
4.3437500000	30	30	30	30
4.3541666667	30	30	30	30
4.3645833333	30	30	30	30
4.3750000000	30	30	30	30
4.3854166667	30	30	30	30
4.3958333333	30	30	30	30
4.4062500000	30	30	30	30
4.4166666667	30	30	30	30
4.4270833333	30	30	30	30
4.4375000000	30	30	30	30
4.4479166667	30	30	30	30
4.4583333333	30	30	30	30
4.4687500000	30	30	30	30
4.4791666667	30	30	30	30
4.4895833333	30	30	30	30
4.5000000000	30	30	30	30
4.5104166667	30	30	30	30
4.5208333333	30	30	30	30
4.5312500000	30	30	30	30
4.5416666667	30	30	30	30
4.5520833333	30	30	30	30
4.5625000000	30	30	30	30
4.5729166667	30	30	30	30
4.5833333333	30	30	30	30
4.5937500000	30	30	30	30
4.6041666667	30	30	30	30
4.6145833333	30	30	30	30
4.6250000000	30	30	30	30
4.6354166667	30	30	30	30
4.6458333333	30	30	30	30
4.6562500000	30	30	30	30
4.6666666667	30	30	30	30
4.6770833333	30	30	30	30
4.6875000000	30	30	30	30
4.6979166667	30	30	30	30
4.7083333333	30	30	30	30
4.7187500000	30	30	30	30
4.7291666667	30	30	30	30
4.7395833333	30	30	30	30
4.7500000000	30	30	30	30
4.7604166667	30	30	30	30
4.7708333333	30	30	30	30
4.7812500000	30	30	30	30
4.7916666667	30	30	30	30
4.8020833333	30	30	30	30
4.8125000000	30	30	30	30
4.8229166667	30	30	30	30
4.8333333333	30	30	30	30
4.8437500000	30	30	30	30
4.8541666667	30	30	30	30
4.8645833333	30	30	30	30
4.8750000000	30	30	30	30
4.8854166667	30	30	30	30
4.8958333333	30	30	30	30
4.9062500000	30	30	30	30
4.9166666667	30	30	30	30
4.9270833333	30	30	30	30
4.9375000000	30	30	30	30
4.9479166667	30	30	30	30
4.9583333333	30	30	30	30
4.9687500000	30	30	30	30
4.9791666667	30	30	30	30
4.9895833333	30	30	30	30
5.0000000000	30	30	30	30
5.0104166667	30	30	30	30
5.0208333333	30	30	30	30
5.0312500000	30	30	30	30
5.0416666667	30	30	30	30
5.0520833333	30	30	30	30
5.0625000000	30	30	30	30
5.0729166667	30	30	30	30
5.0833333333	30	30	30	30
5.0937500000	30	30	30	30
5.1041666667	30	30	30	30
5.1145833333	30	30	30	30
5.1250000000	30	30	30	30
5.1354166667	30	30	30	30
5.1458333333	30	30	30	30
5.1562500000	30	30	30	30
5.1666666667	30	30	30	30
5.1770833333	30	30	30	30
5.1875000000	30	30	30	30
5.1979166667	30	30	30	30
5.2083333333	30	30	30	30
5.2187500000	30	30	30	30
5.2291666667	30	30	30	30
5.2395833333	30	30	30	30
5.2500000000	30	30	30	30
5.2604166667	30	30	30	30
5.2708333333	30	30	30	30
5.2812500000	30	30	30	30
5.2916666667	30	30	30	30
5.3020833333	30	30	30	30
5.3125000000	30	30	30	30
5.3229166667	30	30	30	30
5.3333333333	30	30	30	30
5.3437500000	30	30	30	30
5.3541666667	30	30	30	30
5.3645833333	30	30	30	30
5.3750000000	30	30	30	30
5.3854166667	30	30	30	30
5.3958333333	30	30	30	30
5.4062500000	30	30	30	30
5.4166666667	30	30	30	30
5.4270833333	30	30	30	30
5.4375000000	30	30	30	30
5.4479166667	30	30	30	30
5.4583333333	30	30	30	30
5.4687500000	30	30	30	30
5.4791666667	30	30	30	30
5.4895833333	30	30	30	30
5.5000000000	30	30	30	30
5.5104166667	30	30	30	30
5.5208333333	30	30	30	30
5.5312500000	30	30	30	30
5.5416666667	30	30	30	30
5.5520833333	30	30	30	30
5.5625000000	30	30	30	30
5.5729166667	30	30	30	30
5.5833333333	30	30	30	30
5.5937500000	30	30	30	30
5.6041666667	30	30	30	30
5.6145833333	30	30	30	30
5.6250000000	30	30	30	30
5.6354166667	30	30	30	30
5.6458333333	30	30	30	30
5.6562500000	30	30	30	30
5.6666666667	30	30	30	30
5.6770833333	30	30	30	30
5.6875000000	30	30	30	30
5.6979166667	30	30	30	30
5.7083333333	30	30	30	30
5.7187500000	30	30	30	30
5.7291666667	30	30	30	30
5.7395833333	30	30	30	30
5.7500000000	30	30	30	30
5.7604166667	30	30	30	30
5.7708333333	30	30	30	30
5.7812500000	30	30	30	30
5.7916666667	30	30	30	30
5.8020833333	30	30	30	30
5.8125000000	30	30	30	30
5.8229166667	30	30	30	30
5.8333333333	30	30	30	30
5.8437500000	30	30	30	30
5.8541666667	30	30	30	30
5.8645833333	30	30	30	30
5.8750000000	30	30	30	30
5.8854166667	30	30	30	30
5.8958333333	30	30	30	30
5.9062500000	30	30	30	30
5.9166666667	30	30	30	30
5.9270833333	30	30	30	30
5.9375000000	30	30	30	30
5.9479166667	30	30	30	30
5.9583333333	30	30	30	30
5.9687500000	30	30	30	30
5.9791666667	30	30	30	30
5.9895833333	30	30	30	30
6.0000000000	30	30	30	30
6.0104166667	30	30	30	30
6.0208333333	30	30	30	30
6.0312500000	30	30	30	30
6.0416666667	30	30	30	30
6.0520833333	30	30	30	30
6.0625000000	30	30	30	30
6.0729166667	30	30	30	30
6.0833333333	30	30	30	30
6.0937500000	30	30	30	30
6.1041666667	30	30	30	30
6.1145833333	30	30	30	30
6.1250000000	30	30	30	30
6.1354166667	30	30	30	30
6.1458333333	30	30	30	30
6.1562500000	30	30	30	30
6.1666666667	30	30	30	30
6.1770833333	30	30	30	30
6.1875000000	30	30	30	30
6.1979166667	30	30	30	30
6.2083333333	30	30	30	30
6.2187500000	30	30	30	30
6.2291666667	30	30	30	30
6.2395833333	30	30	30	30
6.2500000000	30	30	30	30
6.2604166667	30	30	30	30
6.2708333333	30	30	30	30
6.2812500000	30	30	30	30
6.2916666667	30	30	30	30
6.3020833333	30	30	30	30
6.3125000000	30	30	30	30
6.3229166667	30	30	30	30
6.3333333333	30	30	30	30
6.3437500000	30	30	30	30
6.3541666667	30	30	30	30
6.3645833333	30	30	30	30
6.3750000000	30	30	30	30
6.3854166667	30	30	30	30
6.3958333333	30	30	30	30
6.4062500000	30	30	30	30
6.4166666667	30	30	30	30
6.4270833333	30	30	30	30
6.4375000000	30	30	30	30
6.4479166667	30	30	30	30
6.4583333333	30	30	30	30
6.4687500000	30	30	30	30
6.4791666667	30	30	30	30
6.4895833333	30	30	30	30
6.5000000000	30	30	30	30
6.5104166667	30	30	30	30
6.5208333333	30	30	30	30
6.5312500000	30	30	30	30
6.5416666667	30	30	30	30
6.5520833333	30	30	30	30
6.5625000000	30	30	30	30
6.5729166667	30	30	30	30
6.5833333333	30	30	30	30
6.5937500000	30	30	30	30
6.6041666667	30	30	30	30
6.6145833333	30	30	30	30
6.6250000000	30	30	30	30
6.6354166667	30	30	30	30
6.6458333333	30	30	30	30
6.6562500000	30	30	30	30
6.6666666667	30	30	30	30
6.6770833333	30	30	30	30
6.6875000000	30	30	30	30
6.6979166667	30	30	30	30
6.7083333333	30	30	30	30
6.7187500000	30	30	30	30
6.7291666667	30	30	30	30
6.7395833333	30	30	30	30
6.7500000000	30	30	30	30
6.7604166667	30	30	30	30
6.7708333333	30	30	30	30
6.7812500000	30	30	30	30
6.7916666667	30	30	30	30
6.8020833333	30	30	30	30
6.8125000000	30	30	30	30
6.8229166667	30	30	30	30
6.8333333333	30	30	30	30
6.8437500000	30	30	30	30
6.8541666667	30	30	30	30
6.8645833333	30	30	30	30
6.8750000000	30	30	30	30
6.8854166667	30	30	30	30
6.8958333333	30	30	30	30
6.9062500000	30	30	30	30
6.9166666667	30	30	30	30
6.9270833333	30	30	30	30
6.9375000000	30	30	30	30
6.9479166667	30	30	30	30
6.9583333333	30	30	30	30
6.9687500000	30	30	30	30
6.9791666667	30	30	30	30
6.9895833333	30	30	30	30
7.0000000000	30	30	30	30
7.0104166667	30	30	30	30
7.0208333333	30	30	30	30
7.0312500000	30	30	30	30
7.0416666667	30	30	30	30
7.0520833333	30	30	30	30
7.0625000000	30	30	30	30
7.0729166667	30	30	30	30
7.0833333333	30	30	30	30
7.0937500000	30	30	30	30
7.1041666667	30	30	30	30
7.1145833333	30	30	30	30
7.1250000000	30	30	30	30
7.1354166667	30	30	30	30
7.1458333333	30	30	30	30
7.1562500000	30	30	30	30
7.1666666667	30	30	30	30
7.1770833333	30	30	30	30
7.1875000000	30	30	30	30
7.1979166667	30	30	30	30
7.2083333333	30	30	30	30
7.2187500000	30	30	30	30
7.2291666667	30	30	30	30
7.2395833333	30	30	30	30
7.2500000000	30	30	30	30
7.2604166667	30	30	30	30
7.2708333333	30	30	30	30
7.2812500000	30	30	30	30
7.2916666667	30	30	30	30
7.3020833333	30	30	30	30
7.3125000000	30	30	30	30
7.3229166667	30	30	30	30
7.3333333333	30	30	30	30
7.3437500000	30	30	30	30
7.3541666667	30	30	30	30
7.3645833333	30	30	30	30
7.3750000000	30	30	30	30
7.3854166667	30	30	30	30
7.3958333333	30	30	30	30
7.4062500000	30	30	30	30
7.4166666667	30	30	30	30
7.4270833333	30	30	30	30
7.4375000000	30	30	30	30
7.4479166667	30	30	30	30
7.4583333333	30	30	30	30
7.4687500000	30	30	30	30
7.4791666667	30	30	30	30
7.4895833333	30	30	30	30
7.5000000000	30	30	30	30
7.5104166667	30	30	30	30
7.5208333333	30	30	30	30
7.5312500000	30	30	30	30
7.5416666667	30	30	30	30
7.5520833333	30	30	30	30
7.5625000000	30	30	30	30
7.5729166667	30	30	30	30
7.5833333333	30	30	30	30
7.5937500000	30	30	30	30
7.6041666667	30	30	30	30
7.6145833333	30	30	30	30
7.6250000000	30	30	30	30
7.6354166667	30	30	30	30
7.6458333333	30	30	30	30
7.6562500000	30	30	30	30
7.6666666667	30	30	30	30
7.6770833333	30	30	30	30
7.6875000000	30	30	30	30
7.6979166667	30	30	30	30
7.7083333333	30	30	30	30
7.7187500000	30	30	30	30
7.7291666667	30	30	30	30
7.7395833333	30	30	30	30
7.7500000000	30	30	30	30
7.7604166667	30	30	30	30
7.7708333333	30	30	30	30
7.7812500000	30	30	30	30
7.7916666667	30	30	30	30
7.8020833333	30	30	30	30
7.8125000000	30	30	30	30
7.8229166667	30	30	30	30
7.8333333333	30	30	30	30
7.8437500000	30	30	30	30
7.8541666667	30	30	30	30
7.8645833333	30	30	30	30
7.8750000000	30	30	30	30
7.8854166667	30	30	30	30
7.8958333333	30	30	30	30
7.9062500000	30	30	30	30
7.9166666667	30	30	30	30
7.9270833333	30	30	30	30
7.9375000000	30	30	30	30
7.9479166667	30	30	30	30
7.9583333333	30	30	30	30
7.9687500000	30	30	30	30
7.9791666667	30	30	30	30
7.9895833333	30	30	30	30
8.0000000000	30	30	30	30
8.0104166667	30	30	30	30
8.0208333333	30	30	30	30
8.0312500000	30	30	30	30
8.0416666667	30	30	30	30
8.0520833333	30	30	30	30
8.0625000000	30	30	30	30
8.0729166667	30	30	30	30
8.0833333333	30	30	30	30
8.0937500000	30	30	30	30
8.1041666667	30	30	30	30
8.1145833333	30	30	30	30
8.1250000000	30	30	30	30
8.1354166667	30	30	30	30
8.1458333333	30	30	30	30
8.1562500000	30	30	30	30
8.1666666667	30	30	30	30
8.1770833333	30	30	30	30
8.1875000000	30	30	30	30
8.1979166667	30	30	30	30
8.2083333333	30	30	30	30
8.2187500000	30	30	30	30
8.2291666667	30	30	30	30
8.2395833333	30	30	30	30
8.2500000000	30	30	30	30
8.2604166667	30	30	30	30
8.2708333333	30	30	30	30
8.2812500000	30	30	30	30
8.2916666667	30	30	30	30
8.3020833333	30	30	30	30
8.3125000000	30	30	30	30
8.3229166667	30	30	30	30
8.3333333333	30	30	30	30
8.3437500000	30	30	30	30
8.3541666667	30	30	30	30
8.3645833333	30	30	30	30
8.3750000000	30	30	18.12	30
8.3854166667	30	30	16.41	30
8.3958333333	30	30	19.16	30
8.4062500000	30	30	16.27	30
8.4166666667	30	30	16.59	30
8.4270833333	30	30	17.3	30
8.4375000000	30	30	17.88	30
8.4479166667	30	30	18.43	30
8.4583333333	30	30	18.49	30
8.4687500000	30	30	18.44	30
8.4791666667	30	30	18.45	30
8.4895833333	30	30	18.4	30
8.5000000000	30	30	18.22	30
8.5104166667	30	30	17.24	30
8.5208333333	30	30	16.91	30
8.5312500000	30	30	16.72	30
8.5416666667	30	30	16.6	30
8.5520833333	30	30	16.5	30
8.5625000000	30	30	15.97	30
8.5729166667	30	30	16.65	30
8.5833333333	30	30	16.4	30
8.5937500000	30	30	16.15	30
8.6041666667	30	30	15.8	30
8.6145833333	30	30	15.67	30
8.6250000000	30	30	15.67	30
8.6354166667	30	30	15.45	30
8.6458333333	30	30	15.53	30
8.6562500000	30	30	15.3	30
8.6666666667	30	30	15.17	30
8.6770833333	30	30	15.01	30
8.6875000000	30	30	14.74	30
8.6979166667	30	30	14.59	30
8.7083333333	30	30	14.42	30
8.7187500000	30	30	14.34	30
8.7291666667	30	30	14.3	30
8.7395833333	30	30	14.66	30
8.7500000000	30	30	15.88	30
8.7604166667	30	30	15.58	30
8.7708333333	30	30	15.79	30
8.7812500000	30	30	15.43	30
8.7916666667	30	30	14.94	30
8.8020833333	30	30	13.98	30
8.8125000000	30	30	14.35	19.58
8.8229166667	30	30	15.72	17.06
8.8333333333	30	30	16.17	14.2
8.8437500000	30	30	16.13	11.64
8.8541666667	30	30	16.68	12.53
8.8645833333	30	30	15.56	10.77
8.8750000000	30	30	14.74	9.66
8.8854166667	30	30	15.43	10.6
8.8958333333	30	30	17.12	15.62
8.9062500000	30	30	16.43	17.24
8.9166666667	30	30	16.33	21.53
8.9270833333	30	30	16.47	30
8.9375000000	30	30	15.55	30
8.9479166667	30	30	17.23	30
8.9583333333	30	30	16.87	30
8.9687500000	30	30	16.6	30
8.9791666667	30	30	16.39	30
8.9895833333	30	30	16.15	30
9.0000000000	30	30	15.37	30
9.0104166667	30	30	15.37	30
9.0208333333	30	30	14.66	30
9.0312500000	30	30	14.55	30
9.0416666667	30	30	14.42	30
9.0520833333	30	30	14.16	30
9.0625000000	30	30	13.98	30
9.0729166667	30	30	13.72	30
9.0833333333	30	30	13.39	30
9.0937500000	30	30	13.43	30
9.1041666667	30	30	13.32	30
9.1145833333	30	30	12.61	30
9.1250000000	30	30	12.05	30
9.1354166667	30	30	11.63	30
9.1458333333	30	30	11.28	30
9.1562500000	30	30	10.92	30
9.1666666667	30	30	11.3	30
9.1770833333	30	30	10.98	30
9.1875000000	30	30	11.18	30
9.1979166667	30	30	11.87	30
9.2083333333	30	30	11.44	30
9.2187500000	30	30	11.97	30
9.2291666667	30	30	12.15	30
9.2395833333	30	30	12.14	30
9.2500000000	30	30	11.47	30
9.2604166667	30	30	11.49	30
9.2708333333	30	30	11.11	30
9.2812500000	30	30	11.25	30
9.2916666667	30	30	11.14	30
9.3020833333	30	30	11.22	30
9.3125000000	30	30	11.43	30
9.3229166667	30	30	11.72	30
9.3333333333	30	30	11.71	30
9.3437500000	30	30	11.6	30
9.3541666667	30	30	12.04	30
9.3645833333	30	30	12.33	30
9.3750000000	30	30	13.89	30
9.3854166667	30	30	13.89	30
9.3958333333	30	30	15.65	30
9.4062500000	30	30	16.79	30
9.4166666667	30	30	16.6	30
9.4270833333	30	30	17.19	30
9.4375000000	30	30	17.63	30
9.4479166667	30	30	18.17	30
9.4583333333	30	30	18.24	30
9.4687500000	30	30	18.24	30
9.4791666667	30	30	18.17	30
