#1				
double Inf_Snh(1346,5)  # t	steady	dry	rain	strm
1.8750000000	31.56	35.64	35.64	35.64
1.8854166667	31.56	36.06	36.06	36.06
1.8958333333	31.56	35.93	35.93	35.93
1.9062500000	31.56	35.45	35.45	35.45
1.9166666667	31.56	35.7	35.7	35.7
1.9270833333	31.56	35.63	35.63	35.63
1.9375000000	31.56	35.38	35.38	35.38
1.9479166667	31.56	34.94	34.94	34.94
1.9583333333	31.56	34.14	34.14	34.14
1.9687500000	31.56	32.7	32.7	32.7
1.9791666667	31.56	31.47	31.47	31.47
1.9895833333	31.56	30.68	30.68	30.68
2.0000000000	31.56	30.25	30.25	30.25
2.0104166667	31.56	30.21	30.21	30.21
2.0208333333	31.56	31.05	31.05	31.05
2.0312500000	31.56	31.67	31.67	31.67
2.0416666667	31.56	33.16	33.16	33.16
2.0520833333	31.56	35.12	35.12	35.12
2.0625000000	31.56	37.87	37.87	37.87
2.0729166667	31.56	37.87	37.87	37.87
2.0833333333	31.56	36.85	36.85	36.85
2.0937500000	31.56	36.47	36.47	36.47
2.1041666667	31.56	34.39	34.39	34.39
2.1145833333	31.56	34.68	34.68	34.68
2.1250000000	31.56	32.07	32.07	32.07
2.1354166667	31.56	29.9	29.9	29.9
2.1458333333	31.56	27.07	27.07	27.07
2.1562500000	31.56	24.7	24.7	24.7
2.1666666667	31.56	23.39	23.39	23.39
2.1770833333	31.56	22.2	22.2	22.2
2.1875000000	31.56	20.32	20.32	20.32
2.1979166667	31.56	20.54	20.54	20.54
2.2083333333	31.56	20.72	20.72	20.72
2.2187500000	31.56	20.75	20.75	20.75
2.2291666667	31.56	20.66	20.66	20.66
2.2395833333	31.56	20.61	20.61	20.61
2.2500000000	31.56	20.54	20.54	20.54
2.2604166667	31.56	20.44	20.44	20.44
2.2708333333	31.56	20.4	20.4	20.4
2.2812500000	31.56	20.16	20.16	20.16
2.2916666667	31.56	20.03	20.03	20.03
2.3020833333	31.56	20	20	20
2.3125000000	31.56	20.1	20.1	20.1
2.3229166667	31.56	20.4	20.4	20.4
2.3333333333	31.56	20.82	20.82	20.82
2.3437500000	31.56	21.17	21.17	21.17
2.3541666667	31.56	21.61	21.61	21.61
2.3645833333	31.56	22.14	22.14	22.14
2.3750000000	31.56	24.68	24.68	24.68
2.3854166667	31.56	29.66	29.66	29.66
2.3958333333	31.56	34.25	34.25	34.25
2.4062500000	31.56	37.94	37.94	37.94
2.4166666667	31.56	43.4	43.4	43.4
2.4270833333	31.56	46.61	46.61	46.61
2.4375000000	31.56	49.25	49.25	49.25
2.4479166667	31.56	50	50	50
2.4583333333	31.56	49.25	49.25	49.25
2.4687500000	31.56	45.74	45.74	45.74
2.4791666667	31.56	40.86	40.86	40.86
2.4895833333	31.56	39.03	39.03	39.03
2.5000000000	31.56	36.85	36.85	36.85
2.5104166667	31.56	34.25	34.25	34.25
2.5208333333	31.56	32.16	32.16	32.16
2.5312500000	31.56	30.78	30.78	30.78
2.5416666667	31.56	29.8	29.8	29.8
2.5520833333	31.56	29.24	29.24	29.24
2.5625000000	31.56	28.52	28.52	28.52
2.5729166667	31.56	27.96	27.96	27.96
2.5833333333	31.56	28.13	28.13	28.13
2.5937500000	31.56	27.55	27.55	27.55
2.6041666667	31.56	27.46	27.46	27.46
2.6145833333	31.56	26.46	26.46	26.46
2.6250000000	31.56	26.18	26.18	26.18
2.6354166667	31.56	26.29	26.29	26.29
2.6458333333	31.56	26.79	26.79	26.79
2.6562500000	31.56	27.29	27.29	27.29
2.6666666667	31.56	27.12	27.12	27.12
2.6770833333	31.56	27.42	27.42	27.42
2.6875000000	31.56	28.33	28.33	28.33
2.6979166667	31.56	28.28	28.28	28.28
2.7083333333	31.56	27.71	27.71	27.71
2.7187500000	31.56	26.69	26.69	26.69
2.7291666667	31.56	26.57	26.57	26.57
2.7395833333	31.56	26.62	26.62	26.62
2.7500000000	31.56	27.46	27.46	27.46
2.7604166667	31.56	28.33	28.33	28.33
2.7708333333	31.56	29.27	29.27	29.27
2.7812500000	31.56	30.63	30.63	30.63
2.7916666667	31.56	30.59	30.59	30.59
2.8020833333	31.56	28.16	28.16	28.16
2.8125000000	31.56	29.8	29.8	29.8
2.8229166667	31.56	29.82	29.82	29.82
2.8333333333	31.56	30.3	30.3	30.3
2.8437500000	31.56	32.13	32.13	32.13
2.8541666667	31.56	33.77	33.77	33.77
2.8645833333	31.56	34.3	34.3	34.3
2.8750000000	31.56	35.64	35.64	35.64
2.8854166667	31.56	36.06	36.06	36.06
2.8958333333	31.56	35.93	35.93	35.93
2.9062500000	31.56	35.45	35.45	35.45
2.9166666667	31.56	35.7	35.7	35.7
2.9270833333	31.56	35.63	35.63	35.63
2.9375000000	31.56	35.38	35.38	35.38
2.9479166667	31.56	34.94	34.94	34.94
2.9583333333	31.56	34.14	34.14	34.14
2.9687500000	31.56	32.7	32.7	32.7
2.9791666667	31.56	31.47	31.47	31.47
2.9895833333	31.56	30.68	30.68	30.68
3.0000000000	31.56	30.25	30.25	30.25
3.0104166667	31.56	30.21	30.21	30.21
3.0208333333	31.56	31.05	31.05	31.05
3.0312500000	31.56	31.67	31.67	31.67
3.0416666667	31.56	33.16	33.16	33.16
3.0520833333	31.56	35.12	35.12	35.12
3.0625000000	31.56	37.87	37.87	37.87
3.0729166667	31.56	37.87	37.87	37.87
3.0833333333	31.56	36.85	36.85	36.85
3.0937500000	31.56	36.47	36.47	36.47
3.1041666667	31.56	34.39	34.39	34.39
3.1145833333	31.56	34.68	34.68	34.68
3.1250000000	31.56	32.07	32.07	32.07
3.1354166667	31.56	29.9	29.9	29.9
3.1458333333	31.56	27.07	27.07	27.07
3.1562500000	31.56	24.7	24.7	24.7
3.1666666667	31.56	23.39	23.39	23.39
3.1770833333	31.56	22.2	22.2	22.2
3.1875000000	31.56	20.32	20.32	20.32
3.1979166667	31.56	20.54	20.54	20.54
3.2083333333	31.56	20.72	20.72	20.72
3.2187500000	31.56	20.75	20.75	20.75
3.2291666667	31.56	20.66	20.66	20.66
3.2395833333	31.56	20.61	20.61	20.61
3.2500000000	31.56	20.54	20.54	20.54
3.2604166667	31.56	20.44	20.44	20.44
3.2708333333	31.56	20.4	20.4	20.4
3.2812500000	31.56	20.16	20.16	20.16
3.2916666667	31.56	20.03	20.03	20.03
3.3020833333	31.56	20	20	20
3.3125000000	31.56	20.1	20.1	20.1
3.3229166667	31.56	20.4	20.4	20.4
3.3333333333	31.56	20.82	20.82	20.82
3.3437500000	31.56	21.17	21.17	21.17
3.3541666667	31.56	21.61	21.61	21.61
3.3645833333	31.56	22.14	22.14	22.14
3.3750000000	31.56	24.68	24.68	24.68
3.3854166667	31.56	29.66	29.66	29.66
3.3958333333	31.56	34.25	34.25	34.25
3.4062500000	31.56	37.94	37.94	37.94
3.4166666667	31.56	43.4	43.4	43.4
3.4270833333	31.56	46.61	46.61	46.61
3.4375000000	31.56	49.25	49.25	49.25
3.4479166667	31.56	50	50	50
3.4583333333	31.56	49.25	49.25	49.25
3.4687500000	31.56	45.74	45.74	45.74
3.4791666667	31.56	40.86	40.86	40.86
3.4895833333	31.56	39.03	39.03	39.03
3.5000000000	31.56	36.85	36.85	36.85
3.5104166667	31.56	34.25	34.25	34.25
3.5208333333	31.56	32.16	32.16	32.16
3.5312500000	31.56	30.78	30.78	30.78
3.5416666667	31.56	29.8	29.8	29.8
3.5520833333	31.56	29.24	29.24	29.24
3.5625000000	31.56	28.52	28.52	28.52
3.5729166667	31.56	27.96	27.96	27.96
3.5833333333	31.56	28.13	28.13	28.13
3.5937500000	31.56	27.55	27.55	27.55
3.6041666667	31.56	27.46	27.46	27.46
3.6145833333	31.56	26.46	26.46	26.46
3.6250000000	31.56	26.18	26.18	26.18
3.6354166667	31.56	26.29	26.29	26.29
3.6458333333	31.56	26.79	26.79	26.79
3.6562500000	31.56	27.29	27.29	27.29
3.6666666667	31.56	27.12	27.12	27.12
3.6770833333	31.56	27.42	27.42	27.42
3.6875000000	31.56	28.33	28.33	28.33
3.6979166667	31.56	28.28	28.28	28.28
3.7083333333	31.56	27.71	27.71	27.71
3.7187500000	31.56	26.69	26.69	26.69
3.7291666667	31.56	26.57	26.57	26.57
3.7395833333	31.56	26.62	26.62	26.62
3.7500000000	31.56	27.46	27.46	27.46
3.7604166667	31.56	28.33	28.33	28.33
3.7708333333	31.56	29.27	29.27	29.27
3.7812500000	31.56	30.63	30.63	30.63
3.7916666667	31.56	30.59	30.59	30.59
3.8020833333	31.56	28.16	28.16	28.16
3.8125000000	31.56	29.8	29.8	29.8
3.8229166667	31.56	29.82	29.82	29.82
3.8333333333	31.56	30.3	30.3	30.3
3.8437500000	31.56	32.13	32.13	32.13
3.8541666667	31.56	33.77	33.77	33.77
3.8645833333	31.56	34.3	34.3	34.3
3.8750000000	31.56	35.64	35.64	35.64
3.8854166667	31.56	36.06	36.06	36.06
3.8958333333	31.56	35.93	35.93	35.93
3.9062500000	31.56	35.45	35.45	35.45
3.9166666667	31.56	35.7	35.7	35.7
3.9270833333	31.56	35.63	35.63	35.63
3.9375000000	31.56	35.38	35.38	35.38
3.9479166667	31.56	34.94	34.94	34.94
3.9583333333	31.56	34.14	34.14	34.14
3.9687500000	31.56	32.7	32.7	32.7
3.9791666667	31.56	31.47	31.47	31.47
3.9895833333	31.56	30.68	30.68	30.68
4.0000000000	31.56	30.25	30.25	30.25
4.0104166667	31.56	30.21	30.21	30.21
4.0208333333	31.56	31.05	31.05	31.05
4.0312500000	31.56	31.67	31.67	31.67
4.0416666667	31.56	33.16	33.16	33.16
4.0520833333	31.56	35.12	35.12	35.12
4.0625000000	31.56	37.87	37.87	37.87
4.0729166667	31.56	37.87	37.87	37.87
4.0833333333	31.56	36.85	36.85	36.85
4.0937500000	31.56	36.47	36.47	36.47
4.1041666667	31.56	34.39	34.39	34.39
4.1145833333	31.56	34.68	34.68	34.68
4.1250000000	31.56	32.07	32.07	32.07
4.1354166667	31.56	29.9	29.9	29.9
4.1458333333	31.56	27.07	27.07	27.07
4.1562500000	31.56	24.7	24.7	24.7
4.1666666667	31.56	23.39	23.39	23.39
4.1770833333	31.56	22.2	22.2	22.2
4.1875000000	31.56	20.32	20.32	20.32
4.1979166667	31.56	20.54	20.54	20.54
4.2083333333	31.56	20.72	20.72	20.72
4.2187500000	31.56	20.75	20.75	20.75
4.2291666667	31.56	20.66	20.66	20.66
4.2395833333	31.56	20.61	20.61	20.61
4.2500000000	31.56	20.54	20.54	20.54
4.2604166667	31.56	20.44	20.44	20.44
4.2708333333	31.56	20.4	20.4	20.4
4.2812500000	31.56	20.16	20.16	20.16
4.2916666667	31.56	20.03	20.03	20.03
4.3020833333	31.56	20	20	20
4.3125000000	31.56	20.1	20.1	20.1
4.3229166667	31.56	20.4	20.4	20.4
4.3333333333	31.56	20.82	20.82	20.82
4.3437500000	31.56	21.17	21.17	21.17
4.3541666667	31.56	21.61	21.61	21.61
4.3645833333	31.56	22.14	22.14	22.14
4.3750000000	31.56	24.68	24.68	24.68
4.3854166667	31.56	29.66	29.66	29.66
4.3958333333	31.56	34.25	34.25	34.25
4.4062500000	31.56	37.94	37.94	37.94
4.4166666667	31.56	43.4	43.4	43.4
4.4270833333	31.56	46.61	46.61	46.61
4.4375000000	31.56	49.25	49.25	49.25
4.4479166667	31.56	50	50	50
4.4583333333	31.56	49.25	49.25	49.25
4.4687500000	31.56	45.74	45.74	45.74
4.4791666667	31.56	40.86	40.86	40.86
4.4895833333	31.56	39.03	39.03	39.03
4.5000000000	31.56	36.85	36.85	36.85
4.5104166667	31.56	34.25	34.25	34.25
4.5208333333	31.56	32.16	32.16	32.16
4.5312500000	31.56	30.78	30.78	30.78
4.5416666667	31.56	29.8	29.8	29.8
4.5520833333	31.56	29.24	29.24	29.24
4.5625000000	31.56	28.52	28.52	28.52
4.5729166667	31.56	27.96	27.96	27.96
4.5833333333	31.56	28.13	28.13	28.13
4.5937500000	31.56	27.55	27.55	27.55
4.6041666667	31.56	27.46	27.46	27.46
4.6145833333	31.56	26.46	26.46	26.46
4.6250000000	31.56	26.18	26.18	26.18
4.6354166667	31.56	26.29	26.29	26.29
4.6458333333	31.56	26.79	26.79	26.79
4.6562500000	31.56	27.29	27.29	27.29
4.6666666667	31.56	27.12	27.12	27.12
4.6770833333	31.56	27.42	27.42	27.42
4.6875000000	31.56	28.33	28.33	28.33
4.6979166667	31.56	28.28	28.28	28.28
4.7083333333	31.56	27.71	27.71	27.71
4.7187500000	31.56	26.69	26.69	26.69
4.7291666667	31.56	26.57	26.57	26.57
4.7395833333	31.56	26.62	26.62	26.62
4.7500000000	31.56	27.46	27.46	27.46
4.7604166667	31.56	28.33	28.33	28.33
4.7708333333	31.56	29.27	29.27	29.27
4.7812500000	31.56	30.63	30.63	30.63
4.7916666667	31.56	30.59	30.59	30.59
4.8020833333	31.56	28.16	28.16	28.16
4.8125000000	31.56	29.8	29.8	29.8
4.8229166667	31.56	29.82	29.82	29.82
4.8333333333	31.56	30.3	30.3	30.3
4.8437500000	31.56	32.13	32.13	32.13
4.8541666667	31.56	33.77	33.77	33.77
4.8645833333	31.56	34.3	34.3	34.3
4.8750000000	31.56	35.64	35.64	35.64
4.8854166667	31.56	36.06	36.06	36.06
4.8958333333	31.56	35.93	35.93	35.93
4.9062500000	31.56	35.45	35.45	35.45
4.9166666667	31.56	35.7	35.7	35.7
4.9270833333	31.56	35.63	35.63	35.63
4.9375000000	31.56	35.38	35.38	35.38
4.9479166667	31.56	34.94	34.94	34.94
4.9583333333	31.56	34.14	34.14	34.14
4.9687500000	31.56	32.7	32.7	32.7
4.9791666667	31.56	31.47	31.47	31.47
4.9895833333	31.56	30.68	30.68	30.68
5.0000000000	31.56	30.25	30.25	30.25
5.0104166667	31.56	30.21	30.21	30.21
5.0208333333	31.56	31.05	31.05	31.05
5.0312500000	31.56	31.67	31.67	31.67
5.0416666667	31.56	33.16	33.16	33.16
5.0520833333	31.56	35.12	35.12	35.12
5.0625000000	31.56	37.87	37.87	37.87
5.0729166667	31.56	37.87	37.87	37.87
5.0833333333	31.56	36.85	36.85	36.85
5.0937500000	31.56	36.47	36.47	36.47
5.1041666667	31.56	34.39	34.39	34.39
5.1145833333	31.56	34.68	34.68	34.68
5.1250000000	31.56	32.07	32.07	32.07
5.1354166667	31.56	29.9	29.9	29.9
5.1458333333	31.56	27.07	27.07	27.07
5.1562500000	31.56	24.7	24.7	24.7
5.1666666667	31.56	23.39	23.39	23.39
5.1770833333	31.56	22.2	22.2	22.2
5.1875000000	31.56	20.32	20.32	20.32
5.1979166667	31.56	20.54	20.54	20.54
5.2083333333	31.56	20.72	20.72	20.72
5.2187500000	31.56	20.75	20.75	20.75
5.2291666667	31.56	20.66	20.66	20.66
5.2395833333	31.56	20.61	20.61	20.61
5.2500000000	31.56	20.54	20.54	20.54
5.2604166667	31.56	20.44	20.44	20.44
5.2708333333	31.56	20.4	20.4	20.4
5.2812500000	31.56	20.16	20.16	20.16
5.2916666667	31.56	20.03	20.03	20.03
5.3020833333	31.56	20	20	20
5.3125000000	31.56	20.1	20.1	20.1
5.3229166667	31.56	20.4	20.4	20.4
5.3333333333	31.56	20.82	20.82	20.82
5.3437500000	31.56	21.17	21.17	21.17
5.3541666667	31.56	21.61	21.61	21.61
5.3645833333	31.56	22.14	22.14	22.14
5.3750000000	31.56	24.68	24.68	24.68
5.3854166667	31.56	29.66	29.66	29.66
5.3958333333	31.56	34.25	34.25	34.25
5.4062500000	31.56	37.94	37.94	37.94
5.4166666667	31.56	43.4	43.4	43.4
5.4270833333	31.56	46.61	46.61	46.61
5.4375000000	31.56	49.25	49.25	49.25
5.4479166667	31.56	50	50	50
5.4583333333	31.56	49.25	49.25	49.25
5.4687500000	31.56	45.74	45.74	45.74
5.4791666667	31.56	40.86	40.86	40.86
5.4895833333	31.56	39.03	39.03	39.03
5.5000000000	31.56	36.85	36.85	36.85
5.5104166667	31.56	34.25	34.25	34.25
5.5208333333	31.56	32.16	32.16	32.16
5.5312500000	31.56	30.78	30.78	30.78
5.5416666667	31.56	29.8	29.8	29.8
5.5520833333	31.56	29.24	29.24	29.24
5.5625000000	31.56	28.52	28.52	28.52
5.5729166667	31.56	27.96	27.96	27.96
5.5833333333	31.56	28.13	28.13	28.13
5.5937500000	31.56	27.55	27.55	27.55
5.6041666667	31.56	27.46	27.46	27.46
5.6145833333	31.56	26.46	26.46	26.46
5.6250000000	31.56	26.18	26.18	26.18
5.6354166667	31.56	26.29	26.29	26.29
5.6458333333	31.56	26.79	26.79	26.79
5.6562500000	31.56	27.29	27.29	27.29
5.6666666667	31.56	27.12	27.12	27.12
5.6770833333	31.56	27.42	27.42	27.42
5.6875000000	31.56	28.33	28.33	28.33
5.6979166667	31.56	28.28	28.28	28.28
5.7083333333	31.56	27.71	27.71	27.71
5.7187500000	31.56	26.69	26.69	26.69
5.7291666667	31.56	26.57	26.57	26.57
5.7395833333	31.56	26.62	26.62	26.62
5.7500000000	31.56	27.46	27.46	27.46
5.7604166667	31.56	28.33	28.33	28.33
5.7708333333	31.56	29.27	29.27	29.27
5.7812500000	31.56	30.63	30.63	30.63
5.7916666667	31.56	30.59	30.59	30.59
5.8020833333	31.56	28.16	28.16	28.16
5.8125000000	31.56	29.8	29.8	29.8
5.8229166667	31.56	29.82	29.82	29.82
5.8333333333	31.56	30.3	30.3	30.3
5.8437500000	31.56	32.13	32.13	32.13
5.8541666667	31.56	33.77	33.77	33.77
5.8645833333	31.56	34.3	34.3	34.3
5.8750000000	31.56	35.64	35.64	35.64
5.8854166667	31.56	36.06	36.06	36.06
5.8958333333	31.56	35.93	35.93	35.93
5.9062500000	31.56	35.45	35.45	35.45
5.9166666667	31.56	35.7	35.7	35.7
5.9270833333	31.56	35.63	35.63	35.63
5.9375000000	31.56	35.38	35.38	35.38
5.9479166667	31.56	34.94	34.94	34.94
5.9583333333	31.56	34.14	34.14	34.14
5.9687500000	31.56	32.7	32.7	32.7
5.9791666667	31.56	31.47	31.47	31.47
5.9895833333	31.56	30.68	30.68	30.68
6.0000000000	31.56	30.25	30.25	30.25
6.0104166667	31.56	30.21	30.21	30.21
6.0208333333	31.56	31.05	31.05	31.05
6.0312500000	31.56	31.67	31.67	31.67
6.0416666667	31.56	33.16	33.16	33.16
6.0520833333	31.56	35.12	35.12	35.12
6.0625000000	31.56	37.87	37.87	37.87
6.0729166667	31.56	37.87	37.87	37.87
6.0833333333	31.56	36.85	36.85	36.85
6.0937500000	31.56	36.47	36.47	36.47
6.1041666667	31.56	34.39	34.39	34.39
6.1145833333	31.56	34.68	34.68	34.68
6.1250000000	31.56	32.07	32.07	32.07
6.1354166667	31.56	29.9	29.9	29.9
6.1458333333	31.56	27.07	27.07	27.07
6.1562500000	31.56	24.7	24.7	24.7
6.1666666667	31.56	23.39	23.39	23.39
6.1770833333	31.56	22.2	22.2	22.2
6.1875000000	31.56	20.32	20.32	20.32
6.1979166667	31.56	20.54	20.54	20.54
6.2083333333	31.56	20.72	20.72	20.72
6.2187500000	31.56	20.75	20.75	20.75
6.2291666667	31.56	20.66	20.66	20.66
6.2395833333	31.56	20.61	20.61	20.61
6.2500000000	31.56	20.54	20.54	20.54
6.2604166667	31.56	20.44	20.44	20.44
6.2708333333	31.56	20.4	20.4	20.4
6.2812500000	31.56	20.16	20.16	20.16
6.2916666667	31.56	20.03	20.03	20.03
6.3020833333	31.56	20	20	20
6.3125000000	31.56	20.1	20.1	20.1
6.3229166667	31.56	20.4	20.4	20.4
