#1				
double Inf_Xs(1346,5)  # t	steady	dry	rain	strm
0.9270833333	202.32	234.55	234.55	234.55
0.9375000000	202.32	234.2	234.2	234.2
0.9479166667	202.32	225.58	225.58	225.58
0.9583333333	202.32	233.57	233.57	233.57
0.9687500000	202.32	234.91	234.91	234.91
0.9791666667	202.32	237.89	237.89	237.89
0.9895833333	202.32	237.29	237.29	237.29
1.0000000000	202.32	232.29	232.29	232.29
1.0104166667	202.32	225.63	225.63	225.63
1.0208333333	202.32	220.81	220.81	220.81
1.0312500000	202.32	217.94	217.94	217.94
1.0416666667	202.32	222.66	222.66	222.66
1.0520833333	202.32	223.75	223.75	223.75
1.0625000000	202.32	226.9	226.9	226.9
1.0729166667	202.32	228.29	228.29	228.29
1.0833333333	202.32	215.55	215.55	215.55
1.0937500000	202.32	206.02	206.02	206.02
1.1041666667	202.32	197.96	197.96	197.96
1.1145833333	202.32	190.07	190.07	190.07
1.1250000000	202.32	184.11	184.11	184.11
1.1354166667	202.32	173.88	173.88	173.88
1.1458333333	202.32	164.55	164.55	164.55
1.1562500000	202.32	155.12	155.12	155.12
1.1666666667	202.32	146.29	146.29	146.29
1.1770833333	202.32	137.7	137.7	137.7
1.1875000000	202.32	131.33	131.33	131.33
1.1979166667	202.32	126.04	126.04	126.04
1.2083333333	202.32	121.23	121.23	121.23
1.2187500000	202.32	117.79	117.79	117.79
1.2291666667	202.32	115.48	115.48	115.48
1.2395833333	202.32	113.57	113.57	113.57
1.2500000000	202.32	112.32	112.32	112.32
1.2604166667	202.32	112.12	112.12	112.12
1.2708333333	202.32	110.95	110.95	110.95
1.2812500000	202.32	109.07	109.07	109.07
1.2916666667	202.32	108.28	108.28	108.28
1.3020833333	202.32	108.46	108.46	108.46
1.3125000000	202.32	107.8	107.8	107.8
1.3229166667	202.32	106.78	106.78	106.78
1.3333333333	202.32	106.14	106.14	106.14
1.3437500000	202.32	105.33	105.33	105.33
1.3541666667	202.32	105.99	105.99	105.99
1.3645833333	202.32	106.97	106.97	106.97
1.3750000000	202.32	107.22	107.22	107.22
1.3854166667	202.32	110.63	110.63	110.63
1.3958333333	202.32	121.9	121.9	121.9
1.4062500000	202.32	138.36	138.36	138.36
1.4166666667	202.32	153.96	153.96	153.96
1.4270833333	202.32	169.55	169.55	169.55
1.4375000000	202.32	186.61	186.61	186.61
1.4479166667	202.32	204.22	204.22	204.22
1.4583333333	202.32	223.27	223.27	223.27
1.4687500000	202.32	240.03	240.03	240.03
1.4791666667	202.32	253.61	253.61	253.61
1.4895833333	202.32	265.11	265.11	265.11
1.5000000000	202.32	274.88	274.88	274.88
1.5104166667	202.32	284.37	284.37	284.37
1.5208333333	202.32	283.9	283.9	283.9
1.5312500000	202.32	281.52	281.52	281.52
1.5416666667	202.32	278.5	278.5	278.5
1.5520833333	202.32	275.46	275.46	275.46
1.5625000000	202.32	272.97	272.97	272.97
1.5729166667	202.32	266.59	266.59	266.59
1.5833333333	202.32	266.35	266.35	266.35
1.5937500000	202.32	264.51	264.51	264.51
1.6041666667	202.32	261.62	261.62	261.62
1.6145833333	202.32	257.16	257.16	257.16
1.6250000000	202.32	252.82	252.82	252.82
1.6354166667	202.32	249.28	249.28	249.28
1.6458333333	202.32	245.08	245.08	245.08
1.6562500000	202.32	242.06	242.06	242.06
1.6666666667	202.32	238.27	238.27	238.27
1.6770833333	202.32	234.42	234.42	234.42
1.6875000000	202.32	230.37	230.37	230.37
1.6979166667	202.32	225.7	225.7	225.7
1.7083333333	202.32	221.06	221.06	221.06
1.7187500000	202.32	216.47	216.47	216.47
1.7291666667	202.32	212.3	212.3	212.3
1.7395833333	202.32	208.89	208.89	208.89
1.7500000000	202.32	208.01	208.01	208.01
1.7604166667	202.32	212.34	212.34	212.34
1.7708333333	202.32	214.32	214.32	214.32
1.7812500000	202.32	216.96	216.96	216.96
1.7916666667	202.32	217.27	217.27	217.27
1.8020833333	202.32	214.89	214.89	214.89
1.8125000000	202.32	209.5	209.5	209.5
1.8229166667	202.32	207.47	207.47	207.47
1.8333333333	202.32	211.49	211.49	211.49
1.8437500000	202.32	216.77	216.77	216.77
1.8541666667	202.32	220.75	220.75	220.75
1.8645833333	202.32	227.5	227.5	227.5
1.8750000000	202.32	226.71	226.71	226.71
1.8854166667	202.32	222.75	222.75	222.75
1.8958333333	202.32	222.49	222.49	222.49
1.9062500000	202.32	232.02	232.02	232.02
1.9166666667	202.32	235.35	235.35	235.35
1.9270833333	202.32	237.55	237.55	237.55
1.9375000000	202.32	240.7	240.7	240.7
1.9479166667	202.32	237.04	237.04	237.04
1.9583333333	202.32	244.79	244.79	244.79
1.9687500000	202.32	248.74	248.74	248.74
1.9791666667	202.32	250.46	250.46	250.46
1.9895833333	202.32	250.82	250.82	250.82
2.0000000000	202.32	250.05	250.05	250.05
2.0104166667	202.32	245.09	245.09	245.09
2.0208333333	202.32	229.84	229.84	229.84
2.0312500000	202.32	230.44	230.44	230.44
2.0416666667	202.32	226.87	226.87	226.87
2.0520833333	202.32	224.19	224.19	224.19
2.0625000000	202.32	221.09	221.09	221.09
2.0729166667	202.32	217.46	217.46	217.46
2.0833333333	202.32	223.73	223.73	223.73
2.0937500000	202.32	215.44	215.44	215.44
2.1041666667	202.32	208.06	208.06	208.06
2.1145833333	202.32	205.13	205.13	205.13
2.1250000000	202.32	201.67	201.67	201.67
2.1354166667	202.32	194.55	194.55	194.55
2.1458333333	202.32	185.93	185.93	185.93
2.1562500000	202.32	177.13	177.13	177.13
2.1666666667	202.32	166.53	166.53	166.53
2.1770833333	202.32	157.92	157.92	157.92
2.1875000000	202.32	151.22	151.22	151.22
2.1979166667	202.32	142.75	142.75	142.75
2.2083333333	202.32	138.86	138.86	138.86
2.2187500000	202.32	136.2	136.2	136.2
2.2291666667	202.32	132.33	132.33	132.33
2.2395833333	202.32	131.63	131.63	131.63
2.2500000000	202.32	133.14	133.14	133.14
2.2604166667	202.32	132.88	132.88	132.88
2.2708333333	202.32	130.55	130.55	130.55
2.2812500000	202.32	127.87	127.87	127.87
2.2916666667	202.32	124.63	124.63	124.63
2.3020833333	202.32	122.19	122.19	122.19
2.3125000000	202.32	119.35	119.35	119.35
2.3229166667	202.32	117.07	117.07	117.07
2.3333333333	202.32	116.43	116.43	116.43
2.3437500000	202.32	117.15	117.15	117.15
2.3541666667	202.32	116.46	116.46	116.46
2.3645833333	202.32	115.55	115.55	115.55
2.3750000000	202.32	113.4	113.4	113.4
2.3854166667	202.32	115.81	115.81	115.81
2.3958333333	202.32	116.46	116.46	116.46
2.4062500000	202.32	119.37	119.37	119.37
2.4166666667	202.32	135.84	135.84	135.84
2.4270833333	202.32	152.94	152.94	152.94
2.4375000000	202.32	165.56	165.56	165.56
2.4479166667	202.32	179.12	179.12	179.12
2.4583333333	202.32	197.28	197.28	197.28
2.4687500000	202.32	216.42	216.42	216.42
2.4791666667	202.32	233.97	233.97	233.97
2.4895833333	202.32	258.53	258.53	258.53
2.5000000000	202.32	273.94	273.94	273.94
2.5104166667	202.32	276.45	276.45	276.45
2.5208333333	202.32	278.99	278.99	278.99
2.5312500000	202.32	277.82	277.82	277.82
2.5416666667	202.32	283.07	283.07	283.07
2.5520833333	202.32	270.4	270.4	270.4
2.5625000000	202.32	263.77	263.77	263.77
2.5729166667	202.32	272.36	272.36	272.36
2.5833333333	202.32	275.77	275.77	275.77
2.5937500000	202.32	280.21	280.21	280.21
2.6041666667	202.32	280.4	280.4	280.4
2.6145833333	202.32	252.25	252.25	252.25
2.6250000000	202.32	244.38	244.38	244.38
2.6354166667	202.32	256.03	256.03	256.03
2.6458333333	202.32	251.77	251.77	251.77
2.6562500000	202.32	256.93	256.93	256.93
2.6666666667	202.32	257.6	257.6	257.6
2.6770833333	202.32	241.1	241.1	241.1
2.6875000000	202.32	229.03	229.03	229.03
2.6979166667	202.32	223.13	223.13	223.13
2.7083333333	202.32	219.89	219.89	219.89
2.7187500000	202.32	219.46	219.46	219.46
2.7291666667	202.32	216.78	216.78	216.78
2.7395833333	202.32	212.06	212.06	212.06
2.7500000000	202.32	206.6	206.6	206.6
2.7604166667	202.32	204.57	204.57	204.57
2.7708333333	202.32	203.01	203.01	203.01
2.7812500000	202.32	192.89	192.89	192.89
2.7916666667	202.32	192.86	192.86	192.86
2.8020833333	202.32	203	203	203
2.8125000000	202.32	207.35	207.35	207.35
2.8229166667	202.32	218.18	218.18	218.18
2.8333333333	202.32	218.42	218.42	218.42
2.8437500000	202.32	205.95	205.95	205.95
2.8541666667	202.32	210.19	210.19	210.19
2.8645833333	202.32	218.26	218.26	218.26
2.8750000000	202.32	223.13	223.13	223.13
2.8854166667	202.32	232.26	232.26	232.26
2.8958333333	202.32	216.37	216.37	216.37
2.9062500000	202.32	215.12	215.12	215.12
2.9166666667	202.32	229.98	229.98	229.98
2.9270833333	202.32	235.6	235.6	235.6
2.9375000000	202.32	248.17	248.17	248.17
2.9479166667	202.32	228.05	228.05	228.05
2.9583333333	202.32	222.19	222.19	222.19
2.9687500000	202.32	231.64	231.64	231.64
2.9791666667	202.32	237.27	237.27	237.27
2.9895833333	202.32	246.67	246.67	246.67
3.0000000000	202.32	249.13	249.13	249.13
3.0104166667	202.32	241.64	241.64	241.64
3.0208333333	202.32	231.74	231.74	231.74
3.0312500000	202.32	216.14	216.14	216.14
3.0416666667	202.32	215.49	215.49	215.49
3.0520833333	202.32	219.83	219.83	219.83
3.0625000000	202.32	221.55	221.55	221.55
3.0729166667	202.32	243.96	243.96	243.96
3.0833333333	202.32	246.54	246.54	246.54
3.0937500000	202.32	228.37	228.37	228.37
3.1041666667	202.32	217.23	217.23	217.23
3.1145833333	202.32	208.58	208.58	208.58
3.1250000000	202.32	202.58	202.58	202.58
3.1354166667	202.32	193.63	193.63	193.63
3.1458333333	202.32	186.19	186.19	186.19
3.1562500000	202.32	176.34	176.34	176.34
3.1666666667	202.32	165.92	165.92	165.92
3.1770833333	202.32	156.61	156.61	156.61
3.1875000000	202.32	145.28	145.28	145.28
3.1979166667	202.32	137.15	137.15	137.15
3.2083333333	202.32	131.73	131.73	131.73
3.2187500000	202.32	125.14	125.14	125.14
3.2291666667	202.32	120.45	120.45	120.45
3.2395833333	202.32	117.53	117.53	117.53
3.2500000000	202.32	115.18	115.18	115.18
3.2604166667	202.32	112.62	112.62	112.62
3.2708333333	202.32	113.18	113.18	113.18
3.2812500000	202.32	113.42	113.42	113.42
3.2916666667	202.32	110.33	110.33	110.33
3.3020833333	202.32	108.19	108.19	108.19
3.3125000000	202.32	108.97	108.97	108.97
3.3229166667	202.32	109.29	109.29	109.29
3.3333333333	202.32	107.63	107.63	107.63
3.3437500000	202.32	107.09	107.09	107.09
3.3541666667	202.32	105.18	105.18	105.18
3.3645833333	202.32	104.6	104.6	104.6
3.3750000000	202.32	106.78	106.78	106.78
3.3854166667	202.32	104.21	104.21	104.21
3.3958333333	202.32	96.95	96.95	96.95
3.4062500000	202.32	102.31	102.31	102.31
3.4166666667	202.32	120.52	120.52	120.52
3.4270833333	202.32	134.43	134.43	134.43
3.4375000000	202.32	147.74	147.74	147.74
3.4479166667	202.32	163	163	163
3.4583333333	202.32	183.51	183.51	183.51
3.4687500000	202.32	206.92	206.92	206.92
3.4791666667	202.32	226.85	226.85	226.85
3.4895833333	202.32	243.82	243.82	243.82
3.5000000000	202.32	259.91	259.91	259.91
3.5104166667	202.32	282.5	282.5	282.5
3.5208333333	202.32	293.81	293.81	293.81
3.5312500000	202.32	292.78	292.78	292.78
3.5416666667	202.32	289.61	289.61	289.61
3.5520833333	202.32	286.08	286.08	286.08
3.5625000000	202.32	286.62	286.62	286.62
3.5729166667	202.32	276.3	276.3	276.3
3.5833333333	202.32	271.17	271.17	271.17
3.5937500000	202.32	273.3	273.3	273.3
3.6041666667	202.32	273.54	273.54	273.54
3.6145833333	202.32	270.34	270.34	270.34
3.6250000000	202.32	264.38	264.38	264.38
3.6354166667	202.32	260.46	260.46	260.46
3.6458333333	202.32	255.43	255.43	255.43
3.6562500000	202.32	251.81	251.81	251.81
3.6666666667	202.32	249.07	249.07	249.07
3.6770833333	202.32	245.35	245.35	245.35
3.6875000000	202.32	242.26	242.26	242.26
3.6979166667	202.32	238.21	238.21	238.21
3.7083333333	202.32	233.33	233.33	233.33
3.7187500000	202.32	228.08	228.08	228.08
3.7291666667	202.32	222.65	222.65	222.65
3.7395833333	202.32	215.77	215.77	215.77
3.7500000000	202.32	204.5	204.5	204.5
3.7604166667	202.32	204.84	204.84	204.84
3.7708333333	202.32	210	210	210
3.7812500000	202.32	214.61	214.61	214.61
3.7916666667	202.32	220.87	220.87	220.87
3.8020833333	202.32	226.26	226.26	226.26
3.8125000000	202.32	221.62	221.62	221.62
3.8229166667	202.32	206.36	206.36	206.36
3.8333333333	202.32	200.27	200.27	200.27
3.8437500000	202.32	206.25	206.25	206.25
3.8541666667	202.32	209.48	209.48	209.48
3.8645833333	202.32	222.18	222.18	222.18
3.8750000000	202.32	235.7	235.7	235.7
3.8854166667	202.32	229.73	229.73	229.73
3.8958333333	202.32	211.83	211.83	211.83
3.9062500000	202.32	217.42	217.42	217.42
3.9166666667	202.32	230.94	230.94	230.94
3.9270833333	202.32	233.63	233.63	233.63
3.9375000000	202.32	242.9	242.9	242.9
3.9479166667	202.32	233.07	233.07	233.07
3.9583333333	202.32	232.27	232.27	232.27
3.9687500000	202.32	244.91	244.91	244.91
3.9791666667	202.32	251.11	251.11	251.11
3.9895833333	202.32	254.62	254.62	254.62
4.0000000000	202.32	260.31	260.31	260.31
4.0104166667	202.32	258.52	258.52	258.52
4.0208333333	202.32	226.7	226.7	226.7
4.0312500000	202.32	223.19	223.19	223.19
4.0416666667	202.32	219.83	219.83	219.83
4.0520833333	202.32	216.23	216.23	216.23
4.0625000000	202.32	221.75	221.75	221.75
4.0729166667	202.32	214.92	214.92	214.92
4.0833333333	202.32	208.51	208.51	208.51
4.0937500000	202.32	202.44	202.44	202.44
4.1041666667	202.32	197.4	197.4	197.4
4.1145833333	202.32	191.63	191.63	191.63
4.1250000000	202.32	183.89	183.89	183.89
4.1354166667	202.32	175.39	175.39	175.39
4.1458333333	202.32	166.78	166.78	166.78
4.1562500000	202.32	158.22	158.22	158.22
4.1666666667	202.32	151.11	151.11	151.11
4.1770833333	202.32	145.03	145.03	145.03
4.1875000000	202.32	139.62	139.62	139.62
4.1979166667	202.32	136.67	136.67	136.67
4.2083333333	202.32	134.16	134.16	134.16
4.2187500000	202.32	132.3	132.3	132.3
4.2291666667	202.32	131.84	131.84	131.84
4.2395833333	202.32	131.62	131.62	131.62
4.2500000000	202.32	129.96	129.96	129.96
4.2604166667	202.32	127.55	127.55	127.55
4.2708333333	202.32	124.8	124.8	124.8
4.2812500000	202.32	122.27	122.27	122.27
4.2916666667	202.32	120.06	120.06	120.06
4.3020833333	202.32	118.18	118.18	118.18
4.3125000000	202.32	117.12	117.12	117.12
4.3229166667	202.32	117.08	117.08	117.08
4.3333333333	202.32	117.33	117.33	117.33
4.3437500000	202.32	117.24	117.24	117.24
4.3541666667	202.32	117.99	117.99	117.99
4.3645833333	202.32	119.9	119.9	119.9
4.3750000000	202.32	122.58	122.58	122.58
4.3854166667	202.32	130.62	130.62	130.62
4.3958333333	202.32	141.23	141.23	141.23
4.4062500000	202.32	156.86	156.86	156.86
4.4166666667	202.32	174.19	174.19	174.19
4.4270833333	202.32	189.19	189.19	189.19
4.4375000000	202.32	205.44	205.44	205.44
4.4479166667	202.32	220.17	220.17	220.17
4.4583333333	202.32	236.46	236.46	236.46
4.4687500000	202.32	250.7	250.7	250.7
4.4791666667	202.32	262.74	262.74	262.74
4.4895833333	202.32	275.54	275.54	275.54
4.5000000000	202.32	278.55	278.55	278.55
4.5104166667	202.32	277.17	277.17	277.17
4.5208333333	202.32	276.67	276.67	276.67
4.5312500000	202.32	275.91	275.91	275.91
4.5416666667	202.32	275.32	275.32	275.32
4.5520833333	202.32	268.8	268.8	268.8
4.5625000000	202.32	271.39	271.39	271.39
4.5729166667	202.32	272.22	272.22	272.22
4.5833333333	202.32	269.91	269.91	269.91
4.5937500000	202.32	266.22	266.22	266.22
4.6041666667	202.32	256.25	256.25	256.25
4.6145833333	202.32	248.27	248.27	248.27
4.6250000000	202.32	252.28	252.28	252.28
4.6354166667	202.32	250.87	250.87	250.87
4.6458333333	202.32	247.04	247.04	247.04
4.6562500000	202.32	244.64	244.64	244.64
4.6666666667	202.32	233.92	233.92	233.92
4.6770833333	202.32	225.17	225.17	225.17
4.6875000000	202.32	220.67	220.67	220.67
4.6979166667	202.32	218.23	218.23	218.23
4.7083333333	202.32	216.22	216.22	216.22
4.7187500000	202.32	213.23	213.23	213.23
4.7291666667	202.32	208.48	208.48	208.48
4.7395833333	202.32	205.82	205.82	205.82
4.7500000000	202.32	204	204	204
4.7604166667	202.32	202.55	202.55	202.55
4.7708333333	202.32	201.28	201.28	201.28
4.7812500000	202.32	202.32	202.32	202.32
4.7916666667	202.32	208.83	208.83	208.83
4.8020833333	202.32	213.04	213.04	213.04
4.8125000000	202.32	216.11	216.11	216.11
4.8229166667	202.32	218.08	218.08	218.08
4.8333333333	202.32	215.39	215.39	215.39
4.8437500000	202.32	217.14	217.14	217.14
4.8541666667	202.32	223.12	223.12	223.12
4.8645833333	202.32	225.58	225.58	225.58
4.8750000000	202.32	227.87	227.87	227.87
4.8854166667	202.32	227.28	227.28	227.28
4.8958333333	202.32	224.92	224.92	224.92
4.9062500000	202.32	233.53	233.53	233.53
4.9166666667	202.32	236.81	236.81	236.81
4.9270833333	202.32	237.84	237.84	237.84
4.9375000000	202.32	236.09	236.09	236.09
4.9479166667	202.32	229.79	229.79	229.79
4.9583333333	202.32	237.12	237.12	237.12
4.9687500000	202.32	238.74	238.74	238.74
4.9791666667	202.32	241.24	241.24	241.24
4.9895833333	202.32	239.91	239.91	239.91
5.0000000000	202.32	182.89	182.89	182.89
5.0104166667	202.32	179.41	179.41	179.41
5.0208333333	202.32	179.02	179.02	179.02
5.0312500000	202.32	183.67	183.67	183.67
5.0416666667	202.32	184.9	184.9	184.9
5.0520833333	202.32	188.15	188.15	188.15
5.0625000000	202.32	190.38	190.38	190.38
5.0729166667	202.32	180.67	180.67	180.67
5.0833333333	202.32	174.36	174.36	174.36
5.0937500000	202.32	168.83	168.83	168.83
5.1041666667	202.32	163.75	163.75	163.75
5.1145833333	202.32	160.08	160.08	160.08
5.1250000000	202.32	155.75	155.75	155.75
5.1354166667	202.32	150.57	150.57	150.57
5.1458333333	202.32	144.71	144.71	144.71
5.1562500000	202.32	139.57	139.57	139.57
5.1666666667	202.32	133.63	133.63	133.63
5.1770833333	202.32	128.83	128.83	128.83
5.1875000000	202.32	125.9	125.9	125.9
5.1979166667	202.32	121.49	121.49	121.49
5.2083333333	202.32	119.66	119.66	119.66
5.2187500000	202.32	117.26	117.26	117.26
5.2291666667	202.32	116.04	116.04	116.04
5.2395833333	202.32	114.85	114.85	114.85
5.2500000000	202.32	115.28	115.28	115.28
5.2604166667	202.32	115.43	115.43	115.43
5.2708333333	202.32	114.45	114.45	114.45
5.2812500000	202.32	113.25	113.25	113.25
5.2916666667	202.32	113.31	113.31	113.31
5.3020833333	202.32	113.52	113.52	113.52
5.3125000000	202.32	112.36	112.36	112.36
5.3229166667	202.32	111.58	111.58	111.58
5.3333333333	202.32	111.25	111.25	111.25
5.3437500000	202.32	110.76	110.76	110.76
5.3541666667	202.32	111.42	111.42	111.42
5.3645833333	202.32	111.35	111.35	111.35
5.3750000000	202.32	109.31	109.31	109.31
5.3854166667	202.32	113.14	113.14	113.14
5.3958333333	202.32	122.01	122.01	122.01
5.4062500000	202.32	129.87	129.87	129.87
5.4166666667	202.32	140.85	140.85	140.85
5.4270833333	202.32	151.32	151.32	151.32
5.4375000000	202.32	163.17	163.17	163.17
5.4479166667	202.32	175.4	175.4	175.4
5.4583333333	202.32	187.64	187.64	187.64
5.4687500000	202.32	197.95	197.95	197.95
5.4791666667	202.32	207.03	207.03	207.03
5.4895833333	202.32	218.88	218.88	218.88
5.5000000000	202.32	225.39	225.39	225.39
5.5104166667	202.32	223.57	223.57	223.57
5.5208333333	202.32	222.42	222.42	222.42
5.5312500000	202.32	219.8	219.8	219.8
5.5416666667	202.32	221.13	221.13	221.13
5.5520833333	202.32	213.48	213.48	213.48
5.5625000000	202.32	209.82	209.82	209.82
5.5729166667	202.32	211.75	211.75	211.75
5.5833333333	202.32	211.26	211.26	211.26
5.5937500000	202.32	212.16	212.16	212.16
5.6041666667	202.32	210.7	210.7	210.7
5.6145833333	202.32	199.72	199.72	199.72
5.6250000000	202.32	199.74	199.74	199.74
5.6354166667	202.32	198.53	198.53	198.53
5.6458333333	202.32	195.14	195.14	195.14
5.6562500000	202.32	197.02	197.02	197.02
5.6666666667	202.32	195.02	195.02	195.02
5.6770833333	202.32	190.12	190.12	190.12
5.6875000000	202.32	186.73	186.73	186.73
5.6979166667	202.32	182.93	182.93	182.93
5.7083333333	202.32	180.25	180.25	180.25
5.7187500000	202.32	177.81	177.81	177.81
5.7291666667	202.32	175.47	175.47	175.47
5.7395833333	202.32	174.26	174.26	174.26
5.7500000000	202.32	178.13	178.13	178.13
5.7604166667	202.32	179.6	179.6	179.6
5.7708333333	202.32	181.74	181.74	181.74
5.7812500000	202.32	177.34	177.34	177.34
5.7916666667	202.32	176.4	176.4	176.4
5.8020833333	202.32	172.38	172.38	172.38
5.8125000000	202.32	169.91	169.91	169.91
5.8229166667	202.32	177.05	177.05	177.05
5.8333333333	202.32	179.65	179.65	179.65
5.8437500000	202.32	179.22	179.22	179.22
5.8541666667	202.32	186.02	186.02	186.02
5.8645833333	202.32	184.71	184.71	184.71
5.8750000000	202.32	182.19	182.19	182.19
5.8854166667	202.32	185.27	185.27	185.27
5.8958333333	202.32	185.58	185.58	185.58
5.9062500000	202.32	190.18	190.18	190.18
5.9166666667	202.32	192.89	192.89	192.89
5.9270833333	202.32	195.74	195.74	195.74
5.9375000000	202.32	198.73	198.73	198.73
5.9479166667	202.32	195.9	195.9	195.9
5.9583333333	202.32	201.62	201.62	201.62
5.9687500000	202.32	201.59	201.59	201.59
5.9791666667	202.32	203.5	203.5	203.5
5.9895833333	202.32	205.28	205.28	205.28
6.0000000000	202.32	202.88	202.88	202.88
6.0104166667	202.32	199.54	199.54	199.54
6.0208333333	202.32	179.35	179.35	179.35
6.0312500000	202.32	179.17	179.17	179.17
6.0416666667	202.32	181.49	181.49	181.49
6.0520833333	202.32	182.65	182.65	182.65
6.0625000000	202.32	184.5	184.5	184.5
6.0729166667	202.32	182.61	182.61	182.61
6.0833333333	202.32	175.3	175.3	175.3
6.0937500000	202.32	169.8	169.8	169.8
6.1041666667	202.32	165.01	165.01	165.01
6.1145833333	202.32	160.37	160.37	160.37
6.1250000000	202.32	156.64	156.64	156.64
6.1354166667	202.32	150.78	150.78	150.78
6.1458333333	202.32	145.32	145.32	145.32
6.1562500000	202.32	139.91	139.91	139.91
6.1666666667	202.32	134.85	134.85	134.85
6.1770833333	202.32	129.95	129.95	129.95
6.1875000000	202.32	126.36	126.36	126.36
6.1979166667	202.32	123.32	123.32	123.32
6.2083333333	202.32	120.59	120.59	120.59
6.2187500000	202.32	118.62	118.62	118.62
6.2291666667	202.32	117.3	117.3	117.3
6.2395833333	202.32	116.21	116.21	116.21
6.2500000000	202.32	115.48	115.48	115.48
6.2604166667	202.32	115.36	115.36	115.36
6.2708333333	202.32	114.71	114.71	114.71
6.2812500000	202.32	113.63	113.63	113.63
6.2916666667	202.32	113.16	113.16	113.16
6.3020833333	202.32	113.26	113.26	113.26
